标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,年份,建筑结构,详情页
2018年小区满五唯一东南朝向，视野开阔,金地格林公馆 ,尚东,92,"10,064",3室1厅,91.42,西南,其他,高楼层(共33层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104115382315.html
保利香槟国际高楼层通透精装四房,保利香槟国际 ,万家丽北,98.8,"8,665",4室2厅,114.03,南,精装,高楼层(共34层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104114933265.html
省直公务员单位小区大两房满五唯一省个税业主诚心出售,丰升德润 ,喜盈门,96,"9,926",2室2厅,96.72,北,精装,高楼层(共33层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113151825.html
半山壹号   位置好  看沙湾公园,半山壹号 ,武广新城,158,"12,994",3室2厅,121.6,南,精装,高楼层(共34层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115587352.html
润屋美院，实用三房，满五唯一，没有抵押，青园梓枫。,润屋美院 ,德思勤,88,"10,437",3室1厅,84.32,南,其他,高楼层(共17层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115739460.html
满五唯一，自住装修朝南采光还行,长城水郡 ,德思勤,71,"8,928",2室1厅,79.53,南,精装,低楼层(共16层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104115578850.html
绿洲花园精装大3房，高楼层，视野开阔,绿洲花园 ,月湖,120,"8,814",3室2厅,136.15,南,精装,高楼层(共32层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104111939790.html
水岸世景 2室1厅 南,水岸世景 ,开元路,36,"5,116",2室1厅,70.37,南,简装,低楼层(共31层),2012年,塔楼,https://cs.lianjia.com/ershoufang/104115700958.html
华润开发商 地铁口 松雅湖 中装两房 业主急售,凤凰城一期 ,开元路,50.8,"6,121",2室2厅,83,南,其他,中楼层(共26层),2009年,板塔结合,https://cs.lianjia.com/ershoufang/104114583166.html
凯通国际城 2室1厅 南,凯通国际城 ,火车站,51,"9,300",2室1厅,54.84,南,简装,低楼层(共33层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104114158868.html
东南朝向采光好，中间楼层边户，业主诚心出售,君悦香邸 ,北辰三角洲,72,"9,688",2室1厅,74.32,南,其他,中楼层(共30层),2007年,板塔结合,https://cs.lianjia.com/ershoufang/104114761770.html
业主急售。南北通。透全屋齐全。价格可谈。,才子城 ,望城区,35.8,"6,938",3室2厅,51.6,南 北,精装,中楼层(共32层) ,未知,暂无数据,https://cs.lianjia.com/ershoufang/104114821295.html
恒基凯旋门3期 温馨精装大2房,恒基凯旋门三期 ,开元路,68.8,"7,854",2室2厅,87.6,南,精装,低楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104115712354.html
南北小三房 总价低 近金鹰直通地库 精装全套,恒大雅苑 ,广电,83,"9,159",3室2厅,90.63,东南,其他,低楼层(共32层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104113813216.html
精致两房，低层位置安静，满五唯一，没有个税,天鸿中央大院 ,铁道学院,49.8,"9,288",2室1厅,53.62,南,其他,低楼层(共34层),2016年,板楼,https://cs.lianjia.com/ershoufang/104115409570.html
二环内 2017年次新小区 在建地铁口 两梯四户 刚需优选,天鸿中央大院 ,铁道学院,83,"11,060",2室2厅,75.05,南,精装,高楼层(共32层),2017年,板楼,https://cs.lianjia.com/ershoufang/104113808306.html
圭塘河 五矿一期 砂子塘 雅镜 拎包入住,五矿万境水岸一期 ,喜盈门,73,"9,331",2室2厅,78.24,南,简装,高楼层(共27层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104115489038.html
满五不唯一，户型周正，采光充足 随时看房,德馨园 ,韶山南路,47.8,"5,556",2室2厅,86.04,南,简装,中楼层(共5层),2006年,板楼,https://cs.lianjia.com/ershoufang/104112582035.html
拎包即可，契税可退，随时搬家进来,龙湖铂金岛 ,滨江新城,42.8,"12,125",1室1厅,35.3,北,精装,低楼层(共28层) ,未知,塔楼,https://cs.lianjia.com/ershoufang/104115576052.html
房子格局好，楼栋位置好，这套是三期的，12层的小洋房,南山十里天池 ,含浦,99,"8,484",3室2厅,116.7,南,精装,低楼层(共12层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104113278059.html
新上房源，次新小区，品质大两房，中间楼层，诚心出售,恒广国际景园一区 ,中南汽车世界,60,"6,744",2室2厅,88.97,南,毛坯,中楼层(共33层),2012年,塔楼,https://cs.lianjia.com/ershoufang/104115011237.html
正规的2户型，朝南，业主自住精装,锦璨家园 ,开元路,43.8,"5,393",2室2厅,81.23,南,精装,中楼层(共33层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104111773167.html
可看西湖，采光很好！复式毛坯，4.5米层高 两房户型,越秀悦湖台 ,桐梓坡,41,"8,914",2室1厅,46,南,毛坯,低楼层(共30层),2022年,塔楼,https://cs.lianjia.com/ershoufang/104115444772.html
汽车西站 枫林三路 地华梅溪湖畔51平米两房，出价可谈,地华梅溪湖畔 ,麓谷东,45,"8,871",2室1厅,50.73,南,简装,中楼层(共26层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104115527629.html
华创  富兴  名富公寓  朝西带阳台 采光好  视野好,名富公寓 ,伍家岭,23,"6,870",1室1厅,33.48,西,简装,中楼层(共31层),2010年,塔楼,https://cs.lianjia.com/ershoufang/104115583235.html
高楼层，采光好精装修 人车分流 配套齐全,中海国际社区一期 ,含浦,76,"7,902",3室2厅,96.19,南,精装,高楼层(共33层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104112502840.html
地铁口，保养好，居家装修，随时看房子,荣盛花语城 ,万家丽北,67.8,"7,624",3室2厅,88.93,南,精装,中楼层(共34层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104115442363.html
满五唯一，自住装修，楼栋位置很好，采光好,长房东旭国际 ,武广新城,159,"13,683",3室2厅,116.21,南,精装,低楼层(共32层) ,未知,板楼,https://cs.lianjia.com/ershoufang/104114528789.html
北辰地铁口精装一房TZ自住两相宜,北辰三角洲奥城E4区 ,北辰三角洲,45,"9,112",1室1厅,49.39,南,简装,高楼层(共45层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115686168.html
红星国际公馆 3室2厅 南,红星国际公馆 ,铁道学院,109.8,"10,570",3室2厅,103.88,南,精装,低楼层(共32层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104114671130.html
此房南北通透格局，楼层好，视野宽阔，采光充足,金地格林公馆 ,尚东,118,"10,175",3室2厅,115.98,南 北,其他,低楼层(共33层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104114718412.html
满五唯一 五号线地铁口精装大四房 视野开阔装修保养好,水岸天际 ,喜盈门,105,"7,481",4室2厅,140.36,南,精装,中楼层(共26层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104115548090.html
一线河景，2梯户，近高铁站，会展,伊景园滨河苑 ,武广新城,83,"7,556",3室2厅,109.85,南 北,毛坯,中楼层(共34层) ,未知,平房,https://cs.lianjia.com/ershoufang/104114867996.html
花园小洋房 户型好 南北对流 产证在手,山水英伦庄园 ,望城区,50,"5,857",2室2厅,85.37,南,其他,中楼层(共6层),2005年,板塔结合,https://cs.lianjia.com/ershoufang/104114751600.html
滨江CBD纯住宅 正地铁口 正对小区花园 业主诚心出售,南山雍江汇一期 ,滨江新城,118,"13,417",3室2厅,87.95,南,精装,23层,2012年,板塔结合,https://cs.lianjia.com/ershoufang/104115128492.html
金茂梅溪湖  50万装修  双位俱在,金茂梅溪湖 ,梅溪湖南岸,182.8,"19,253",2室1厅,94.95,东南,其他,16层,2013年,板楼,https://cs.lianjia.com/ershoufang/104115481839.html
靠河边 毛坯房  视野好  正地铁,德奥悦东方 ,武广新城,132,"11,920",3室2厅,110.74,西南,毛坯,低楼层(共30层) ,未知,板楼,https://cs.lianjia.com/ershoufang/104115125218.html
龙湖B2区毛坯小二房 朝南户型 无遮挡 视野采光号,龙湖湘风原著B2区 ,金星北,55,"7,067",2室1厅,77.83,南,毛坯,中楼层(共34层) ,未知,暂无数据,https://cs.lianjia.com/ershoufang/104115427987.html
位置好 不靠马路 4房2卫 楼层好中间楼层 南北通房型,卓越浅水湾 ,梅溪湖南岸,180,"12,828",4室2厅,140.32,南 北,毛坯,中楼层(共33层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104115635715.html
小区配套成熟 免停车 楼层低 采光好 使用面积大,金帆小区 ,四方坪,53,"5,389",3室2厅,98.35,南,精装,高楼层(共8层),2000年,板楼,https://cs.lianjia.com/ershoufang/104115165306.html
自住精装 地铁口 降价诚售 配套设施齐全,时代倾城 ,金星北,61.8,"7,376",2室2厅,83.79,南,其他,中楼层(共32层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104108793974.html
2017年次新小区，金地物业，自住精装修三房,金地格林公馆 ,尚东,118,"12,797",3室2厅,92.21,南,其他,高楼层(共33层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104114902677.html
山与墅毛坯小三房，次新小区楼层好,山与墅 ,金星北,63.8,"7,433",3室2厅,85.84,南,毛坯,高楼层(共18层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104110985082.html
杜家坪黄兴镇 会展三润城 次新小区业主诚心出售小三房,会展三润城 ,星沙其他,54.5,"6,370",3室2厅,85.57,南 北,毛坯,高楼层(共26层),2023年,板塔结合,https://cs.lianjia.com/ershoufang/104114273762.html
正地铁口 2梯3户 边户 一线河景房 南北通透 业主自住,世方水岸 ,四方坪,122,"9,678",3室1厅,126.06,南 北,精装,高楼层(共31层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104114975618.html
月亮岛谷山旁，户型周正，采光通风好，宜居小区,澳海澜庭月亮湾 ,金星北,65,"5,675",3室2厅,114.54,南,毛坯,中楼层(共33层),2017年,板楼,https://cs.lianjia.com/ershoufang/104112986712.html
居家精装修  满五唯一省个税  采光好  安静舒适,万家城 ,武广新城,108,"8,923",3室2厅,121.04,南,精装,高楼层(共18层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104109204013.html
恒基凯旋门三期 朝南全新毛坯3房 户型周正,恒基凯旋门三期 ,开元路,73.7,"8,302",3室2厅,88.78,南,毛坯,中楼层(共33层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104114748412.html
北辰精装经典三房 地铁一号线 凤凰海大悦城 湘江旁,北辰三角洲奥城E5区 ,北辰三角洲,90,"12,265",3室2厅,73.38,东北,精装,高楼层(共38层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104114893231.html
保利新上精装三居室 非天地楼层 不沿街 业主诚心出售,保利麓谷林语E区 ,麓谷西,87,"9,141",3室2厅,95.18,南 北,简装,低楼层(共18层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104115631351.html
"月亮岛地铁口的三房两卫,,,,,,,,,,,,,,",嘉宇银杉 ,金星北,88.8,"8,905",3室2厅,99.72,南,精装,中楼层(共33层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104114670738.html
23年次新小区 环境优美 靠浏阳河风光带,伊景园滨河苑 ,武广新城,80,"7,240",3室2厅,110.51,南,毛坯,低楼层(共34层) ,未知,暂无数据,https://cs.lianjia.com/ershoufang/104113029866.html
龙湖西地块 圈层纯粹 好楼栋视野开阔，全新洋房未住,龙湖·舜山府 ,河西人人乐,330,"18,334",4室2厅,180,南 北,精装,低楼层(共11层) ,未知,板楼,https://cs.lianjia.com/ershoufang/104114986305.html
背靠岳麓山 面对西湖公园 双地铁口 出门就有公交站,道路运政宿舍 ,溁湾镇,56,"5,856",3室1厅,95.64,南 北,简装,中楼层(共8层) ,未知,板楼,https://cs.lianjia.com/ershoufang/104113289819.html
正地铁口 可看湖 中建梅溪湖中心 清水毛坯大四房 急售,中建梅溪湖中心 ,梅溪湖北岸,239,"13,552",4室2厅,176.36,南,毛坯,低楼层(共47层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104114690528.html
县人民医院 永旺妇幼广生板块 东樾城精装4房,旭辉美的东樾城 ,开元路,126.8,"9,792",4室2厅,129.5,南,精装,中楼层(共34层) ,未知,板楼,https://cs.lianjia.com/ershoufang/104114964916.html
洋湖芯 shuang书bao江山帝景哈佛 精装3房2卫 拎包入住,江山帝景哈佛 ,含浦,112,"10,472",3室2厅,106.96,南 北,精装,中楼层(共31层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104112850858.html
现代风自住装修拎包入住，户型通透，中间楼层诚心出售,半山壹号 ,武广新城,152,"12,527",3室2厅,121.34,南,精装,中楼层(共34层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104114552791.html
半山壹号毛坯三房双卫，诚心出售,半山壹号 ,武广新城,130,"11,096",3室2厅,117.16,东南 南,精装,低楼层(共34层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104114883586.html
恒大御景天下一期花园小区 精装三房拎包入住 看房方便,恒大御景天下一期 ,金霞,64.6,"7,157",3室1厅,90.27,南,简装,低楼层(共27层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104115706508.html
新上 滨江一号 住宅性质 70年产权 精装 可以拎包入住,滨江一号 ,观沙岭,39.8,"9,477",1室1厅,42,南 北,精装,中楼层(共20层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104115627317.html
念青园梓枫近中雅培粹 电梯装修3房业主换房诚心出售,富景园 ,德思勤,105,"8,716",3室2厅,120.48,南,其他,中楼层(共11层),2006年,板楼,https://cs.lianjia.com/ershoufang/104112367279.html
地铁口，居家精装修，保养很好，拎包入住，中高楼层,金房奥斯卡东区 ,省政府,33,"7,886",1室1厅,41.85,南,其他,高楼层(共13层) ,未知,板楼,https://cs.lianjia.com/ershoufang/104113552788.html
半山壹号   位置好  看沙湾公园,半山壹号 ,武广新城,158,"12,994",3室2厅,121.6,南,精装,高楼层(共34层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115587352.html
急售居家精装三房，看房方便，户型方正,恒生碧水龙庭 ,德思勤,65,"7,291",3室1厅,89.16,南,精装,高楼层(共29层) ,未知,塔楼,https://cs.lianjia.com/ershoufang/104112881350.html
2楼带200大露台南北对流大四房出售，价格就是态度！,麓山润城 ,枫林三路,85,"6,428",4室2厅,132.25,南 北,简装,低楼层(共15层),2007年,板塔结合,https://cs.lianjia.com/ershoufang/104115386954.html
绿洲花园精装大3房，高楼层，视野开阔,绿洲花园 ,月湖,120,"8,814",3室2厅,136.15,南,精装,高楼层(共32层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104111939790.html
凯通国际城 2室1厅 南,凯通国际城 ,火车站,51,"9,300",2室1厅,54.84,南,简装,低楼层(共33层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104114158868.html
精装修 地铁口 阿波罗 火车站 燕山XIAOXU,锦华时代 ,晚报,25,"6,218",1室0厅,40.21,东,其他,高楼层(共25层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115569648.html
满五唯一，自住装修朝南采光还行,长城水郡 ,德思勤,71,"8,928",2室1厅,79.53,南,精装,低楼层(共16层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104115578850.html
华润开发商 地铁口 松雅湖 中装两房 业主急售,凤凰城一期 ,开元路,50.8,"6,121",2室2厅,83,南,其他,中楼层(共26层),2009年,板塔结合,https://cs.lianjia.com/ershoufang/104114583166.html
房子是次新小区，园林小区，拎包入住,博林金谷 ,新开铺,36,"8,355",1室1厅,43.09,东南,其他,高楼层(共25层),2008年,板塔结合,https://cs.lianjia.com/ershoufang/104111925472.html
水岸世景 2室1厅 南,水岸世景 ,开元路,36,"5,116",2室1厅,70.37,南,简装,低楼层(共31层),2012年,塔楼,https://cs.lianjia.com/ershoufang/104115700958.html
中国铁建梅溪青秀二期 3室1厅 南,中国铁建梅溪青秀二期 ,梅溪湖北岸,130,"13,770",3室1厅,94.41,南,精装,高楼层(共27层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104115675929.html
正规一室带燃气有阳台住宅性质公寓楼,上东印象 ,晚报,28.8,"6,201",1室1厅,46.45,北,精装,32层,2005年,板塔结合,https://cs.lianjia.com/ershoufang/104115026965.html
钰龙天下二期精装两房全套家具家电中间楼层诚意出售,钰龙天下二期 ,观沙岭,55,"8,223",2室1厅,66.89,南 北,其他,中楼层(共32层),2014年,板楼,https://cs.lianjia.com/ershoufang/104115607758.html
地铁口，满五唯一，自住精装带地暖，拎包入住，视野好,北辰三角洲C3 ,北辰三角洲,165,"14,602",3室2厅,113,南,精装,中楼层(共55层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104114738413.html
地铁口小区，小高层，适合刚需住户,森林公园壹号 ,汽车南站,67,"6,862",3室1厅,97.64,南 北,简装,低楼层(共18层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104114903309.html
北辰三角洲奥城E3区 1室1厅 东南,北辰三角洲奥城E3区 ,北辰三角洲,58,"11,059",1室1厅,52.45,东南,精装,中楼层(共48层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104114180157.html
业主急售。南北通。透全屋齐全。价格可谈。,才子城 ,望城区,35.8,"6,938",3室2厅,51.6,南 北,精装,中楼层(共32层) ,未知,暂无数据,https://cs.lianjia.com/ershoufang/104114821295.html
恒基凯旋门3期 温馨精装大2房,恒基凯旋门三期 ,开元路,68.8,"7,854",2室2厅,87.6,南,精装,低楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104115712354.html
润屋美院，实用三房，满五唯一，没有抵押，青园梓枫。,润屋美院 ,德思勤,88,"10,437",3室1厅,84.32,南,其他,高楼层(共17层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115739460.html
五矿万境水岸二期 1室1厅 南,五矿万境水岸二期 ,喜盈门,51.8,"12,500",1室1厅,41.44,南,精装,中楼层(共32层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104115445534.html
