标题,地区,位置,具体位置,均价,平方米每元/单位,总价,类型,面积,标签,室厅数,均价/平方米每元
湾际·滨江,南沙,进港大道,滨海路和倚涛三街交汇处,26000, 元/㎡(均价),总价180-350(万/套),在售,建面 89-172㎡,"低总价, 人车分流, 大型社区, 品牌房企","3室, 5室, 6室","26000,  元/㎡(均价)"
海珠湖景峰,海珠,南洲,南洲路761号-819号,45000, 元/㎡(均价),总价280-400(万/套),在售,建面 69-133㎡,"低总价, 车位充足, 绿化率高, 多轨交汇","2室, 3室","45000,  元/㎡(均价)"
臻尚苑,番禺,广州南站,广州市番禺区石壁街道石洲中路100号,28000, 元/㎡(均价),总价280-472(万/套),在售,建面 96-118㎡,"低单价, 低总价, 绿化率高, 人车分流","2室, 3室","28000,  元/㎡(均价)"
合汇·中央广场,增城,荔城中区,荔景大道合汇·中央广场,21000, 元/㎡(均价),总价267-574(万/套),在售,建面 78-174㎡,"人车分流, 大型社区, 品牌房企, 入户花园","2室, 3室, 5室","21000,  元/㎡(均价)"
大城云山,从化,太平镇,广从南路1033号,13000, 元/㎡(均价),总价250(万/套),在售,建面 121-142㎡,"绿化率高, 低密居所, 置换改善, 高品质小区",3室,"13000,  元/㎡(均价)"
珠江源昌花园,南沙,横沥,珠江街新广三路1号,20000, 元/㎡(均价),总价235-250(万/套),在售,建面 79-123㎡,"低单价, 低总价, 绿化率高, 人车分流","3室, 4室","20000,  元/㎡(均价)"
江源半岛花园,天河,金融城,黄埔大道车陂南路1、3、5、7号(4、5号线地铁交汇处南侧),100000, 元/㎡(均价),总价630-963(万/套),在售,建面 70-127㎡,"绿化率高, 人车分流, 品牌房企, 近地铁","2室, 3室","100000,  元/㎡(均价)"
惠百氏广场,增城,白江,增城新塘大林边路6号（13号线白江站D1口100米）,15000, 元/㎡(均价),总价126-239(万/套),在售,建面 75-130㎡,"人车分流, 大型社区, 自持商业, 近地铁","2室, 3室","15000,  元/㎡(均价)"
仁安花园,增城,朱村,广州市增城区朱村街朱宁公路1号、3号、5号,11000, 元/㎡(均价),总价100-110(万/套),在售,建面 80-93㎡,"低单价, 低总价, 绿化率高, 人车分流","2室, 3室","11000,  元/㎡(均价)"
紫泉流溪湾,从化,太平镇,105国道从化太平段紫泉流溪湾,16000, 元/㎡(均价),总价195(万/套),在售,建面 88-203㎡,"车位充足, 绿化率高, 入户花园, 临近高速",,"16000,  元/㎡(均价)"
中泰天境,黄埔,知识城,九龙镇萝岗广汕公路与九龙大道交汇处,23000, 元/㎡(均价),总价300(万/套),在售,建面 130㎡,"低单价, 低总价, 车位充足, 绿化率高",4室,"23000,  元/㎡(均价)"
嘉御豪庭,增城,石滩镇,石滩大道南128号,12600, 元/㎡(均价),总价97-170(万/套),在售,建面 67-133㎡,"低单价, 人车分流, 大型社区, 儿童乐园","2室, 3室, 4室","12600,  元/㎡(均价)"
合景誉山国际,增城,永宁,增城区新新大道合景誉山国际营销中心,10000, 元/㎡(均价),总价80(万/套),在售,建面 74-142㎡,"低单价, 低总价, 绿化率高, 人车分流",3室,"10000,  元/㎡(均价)"
凯德·中新里,黄埔,知识城,广州市黄埔区九龙大道地铁棠下站C口南向100米,21000, 元/㎡(均价),总价135-300(万/套),在售,建面 76-140㎡,"低单价, 低总价, 车位充足, 绿化率高","2室, 3室, 4室","21000,  元/㎡(均价)"
顺丰翠园,白云,石井,石井兆丰路120号,25000, 元/㎡(均价),总价185-450(万/套),在售,建面 80-172㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","25000,  元/㎡(均价)"
中海亚运城,番禺,亚运城,广州市番禺区康体路亚运城销售中心（4号线海傍站A出口）,25000, 元/㎡(均价),总价200-700(万/套),在售,建面 87-250㎡,"低单价, 低总价, 绿化率高, 人车分流","2室, 3室, 4室","25000,  元/㎡(均价)"
华标峰湖御境,黄埔,科学城,广州市黄埔区广汕公路与天鹿南路交汇处 广州地铁6号线黄陂地铁站（导航地址：华标峰湖御境售楼部）,57000, 元/㎡(均价),总价1800-3240(万/套),在售,建面 328-648㎡,"车位充足, 低密居所, 置换改善, 养老舒适","4室, 8室, 9室","57000,  元/㎡(均价)"
南沙珠江湾,南沙,南沙湾,漾滨路和海滨路交汇处,9000, 元/㎡(均价),总价35-100(万/套),在售,建面 35-99㎡,"低单价, 低总价, 人车分流, 大型社区","1室, 2室, 3室","9000,  元/㎡(均价)"
尚上名筑,番禺,亚运城,亚运大道尚上名筑,24000, 元/㎡(均价),总价210-360(万/套),在售,建面 78-137㎡,"低单价, 低总价, 绿化率高, 人车分流","2室, 3室","24000,  元/㎡(均价)"
金泽豪庭,增城,白江,广州市增城区新塘镇金泽路1号,15200, 元/㎡(均价),总价144-205(万/套),在售,建面 53-121㎡,"人车分流, 大型社区, 近地铁, 地铁沿线","3室, 4室","15200,  元/㎡(均价)"
金融街花溪小镇,花都,花东镇,花都大道东228号,10000, 元/㎡(均价),总价70-185(万/套),在售,建面 71-132㎡,"低单价, 低总价, 车位充足, 绿化率高","1室, 2室, 3室","10000,  元/㎡(均价)"
华海·悦湾,南沙,南沙港,广州市南沙区黄山鲁森林公园东门,17500, 元/㎡(均价),总价130-220(万/套),在售,建面 78-119㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室","17500,  元/㎡(均价)"
越秀星汇海珠湾,海珠,工业大道中,广州市海珠区工业大道中广纸路40号,30000, 元/㎡(均价),总价300-750(万/套),在售,建面 33-223㎡,"绿化率高, 人车分流, 国央企, 品牌房企","3室, 4室, 5室","30000,  元/㎡(均价)"
金时花园,增城,荔城增江,增江街纬六路5号,9300, 元/㎡(均价),总价78-131(万/套),在售,建面 84-140㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室, 4室","9300,  元/㎡(均价)"
石滩第一城,增城,石滩镇,广州市增城区石滩镇立新东路56号,12000, 元/㎡(均价),总价155-160(万/套),在售,建面 89-132㎡,"低单价, 低总价, 车位充足, 人车分流",3室,"12000,  元/㎡(均价)"
雅宝新城,花都,秀全街,新华街平步大道中131号,16800, 元/㎡(均价),总价169-230(万/套),在售,建面 100-195㎡,"低总价, 车位充足, 绿化率高, 水系园林",3室,"16800,  元/㎡(均价)"
山璟轩,增城,新塘南,新塘镇广深大道东107号（新塘牛仔城对面）,19500, 元/㎡(均价),总价120-125(万/套),在售,建面 62-87㎡,"小型社区, 封闭管理, 地铁沿线, 公交直达",3室,"19500,  元/㎡(均价)"
汇港威华雅苑,增城,朱村,朱村大道东178号,12000, 元/㎡(均价),总价136(万/套),在售,建面 85-113㎡,"低单价, 低总价, 车位充足, 人车分流",3室,"12000,  元/㎡(均价)"
源海仙村一号,增城,石滩镇,荔新大道与仙村大道交汇处,12500, 元/㎡(均价),总价138-212(万/套),在售,建面 86-129㎡,"低单价, 车位充足, 人车分流, 入户花园","2室, 3室","12500,  元/㎡(均价)"
元邦山清水秀,花都,狮岭镇,山前大道1242号,8500, 元/㎡(均价),总价94-145(万/套),在售,建面 95-136㎡,"低单价, 低总价, 绿化率高, 低密居所","3室, 4室","8500,  元/㎡(均价)"
三江盛汇,增城,石滩镇,石滩镇沙庄光明西路100号,12000, 元/㎡(均价),总价135-173(万/套),待售,建面 111-144㎡,"低单价, 绿化率高, 大三居, 现房",,"12000,  元/㎡(均价)"
合和新城,花都,镜湖大道,广东省广州市花都区迎宾大道3号,19000, 元/㎡(均价),总价180-457(万/套),在售,建面 75-207㎡,"车位充足, 大型社区, 近地铁, 地铁沿线","2室, 3室, 4室","19000,  元/㎡(均价)"
南沙湾御苑,南沙,南沙港,进港大道和港前大道交汇处,22000, 元/㎡(均价),总价600(万/套),在售,建面 103-255㎡,"低单价, 车位充足, 低密居所, 置换改善",4室,"22000,  元/㎡(均价)"
叠溪花园,增城,朱村,朱村街道朱石路以东,10500, 元/㎡(均价),总价96-122(万/套),在售,建面 77-126㎡,"低单价, 低总价, 车位充足, 人车分流",3室,"10500,  元/㎡(均价)"
大宏锦绣,南沙,南沙湾,环市大道南南沙小学对面300米处,25000, 元/㎡(均价),总价310-360(万/套),在售,建面 123-142㎡,"车位充足, 人车分流, 自持商业, 近地铁","3室, 4室","25000,  元/㎡(均价)"
绿地珑玥府,增城,荔城增江,大道南（纬四路口）,17000, 元/㎡(均价),总价168-250(万/套),在售,建面 98-138㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","17000,  元/㎡(均价)"
中交汇通中心,南沙,明珠湾,江灵北路和纵三路交汇处,38000, 元/㎡(均价),总价400(万/套),在售,,"车位充足, 人车分流, 国央企, 品牌房企",,"38000,  元/㎡(均价)"
合生湖山国际,增城,凤凰城,广州增城新塘镇陈家林路合生湖山国际营销中心,16000, 元/㎡(均价),总价132-225(万/套),在售,建面 80-135㎡,"大型社区, 封闭管理, 品牌房企, 儿童乐园","2室, 3室, 4室","16000,  元/㎡(均价)"
嘉东广场,从化,旺城片区,从城大道旁（大广高速城郊出口右转600米）,12000, 元/㎡(均价),总价98-153(万/套),在售,建面 81-127㎡,"绿化率高, 人车分流, 儿童乐园, 公交直达","2室, 3室","12000,  元/㎡(均价)"
合景誉山国际,增城,永宁,新新公路合景誉山国际,8500, 元/㎡(均价),总价43(万/套),在售,建面 32-49㎡,"绿化率高, 人车分流, 品牌房企, 健身跑道",2室,"8500,  元/㎡(均价)"
腾步大厦,花都,旧区,迎宾大道4号,价格待定,,,待售,,"小型社区, 公交直达, 综合商场, 超市",,价格待定
腾步大厦,花都,旧区,迎宾大道4号,价格待定,,,待售,,"小型社区, 公交直达, 综合商场, 超市",,价格待定
都湖国际,花都,旧区,新华路96号,28000, 元/㎡(均价),总价420-938(万/套),在售,建面 82-247㎡,"车位充足, 绿化率高, 品牌房企, 地铁沿线","3室, 5室","28000,  元/㎡(均价)"
东江逸珑湾,增城,新塘南,沿江大道39号（甘泉小学东侧）,21000, 元/㎡(均价),总价260-350(万/套),在售,建面 89-162㎡,"人车分流, 大型社区, 品牌房企, 贴心物业","3室, 4室","21000,  元/㎡(均价)"
世茂珠江天鹅湾,海珠,工业大道北,革新路126号,130000, 元/㎡(均价),总价3000(万/套),待售,建面 237-294㎡,"车位充足, 绿化率高, 品牌房企, 健身跑道",,"130000,  元/㎡(均价)"
敏捷尚品国际,南沙,进港大道,进港大道183号,9000, 元/㎡(均价),总价57(万/套),在售,建面 57-93㎡,"低单价, 低总价, 大型社区, 品牌房企",2室,"9000,  元/㎡(均价)"
珠江花城,天河,黄村,东圃岐山183号,50000, 元/㎡(均价),总价400-900(万/套),在售,建面 76-140㎡,"绿化率高, 人车分流, 国央企, 品牌房企","3室, 4室, 5室","50000,  元/㎡(均价)"
保利金沙大都汇,白云,金沙洲,环洲二路86号（沙贝地铁站A1出口）,60000, 元/㎡(均价),总价700(万/套),在售,,"低总价, 车位充足, 人车分流, 国央企",,"60000,  元/㎡(均价)"
花悦台,花都,狮岭镇,狮岭金狮大道四街花悦台销售中心,9000, 元/㎡(均价),总价80-81(万/套),在售,建面 83-93㎡,"低单价, 低总价, 人车分流, 小型社区",3室,"9000,  元/㎡(均价)"
星图TOD,增城,新塘北,地铁13号线官湖车辆段（官湖站B出口）,21000, 元/㎡(均价),总价221-391(万/套),在售,建面 78-135㎡,"车位充足, 人车分流, 国央企, 品牌房企","1室, 2室, 3室","21000,  元/㎡(均价)"
中洲公馆,番禺,市桥,市桥北桥路1号,35000, 元/㎡(均价),总价147(万/套),在售,建面 42-84㎡,"车位充足, 绿化率高, 品牌房企, 贴心物业",,"35000,  元/㎡(均价)"
美的云筑,南沙,鱼窝头,广州市南沙区东涌镇鱼窝头体育文化广场对面,21000, 元/㎡(均价),总价200-260(万/套),在售,建面 83-127㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","21000,  元/㎡(均价)"
祈福万景峰,花都,铁路西,新华街望岗路6号,15900, 元/㎡(均价),总价95-188(万/套),在售,建面 60-143㎡,"低总价, 人车分流, 大型社区, 贴心物业","2室, 3室, 4室","15900,  元/㎡(均价)"
侨建御溪谷北区,增城,中新镇,风光路399号,21500, 元/㎡(均价),总价613(万/套),在售,建面 285㎡,"车位充足, 绿化率高, 置换改善, 近地铁",4室,"21500,  元/㎡(均价)"
天睿,番禺,会江,石北工业路（大石地铁站与会江地铁站之间）,22000, 元/㎡(均价),总价125-1280(万/套),在售,建面 43-185㎡,"绿化率高, 人车分流, 置换改善, 贴心物业","2室, 3室, 4室","22000,  元/㎡(均价)"
临港国际商务大厦,南沙,万顷沙,龙穴大道中123号,23000, 元/㎡(均价),,待售,,"小型社区, 公交直达, 近主干道, 现房",,"23000,  元/㎡(均价)"
珠江铂世湾,番禺,雅居乐,万博.江山高尔夫俱乐部东侧,38000, 元/㎡(均价),总价390-490(万/套),在售,建面 105-138㎡,"特价好房, 低总价, 车位充足, 绿化率高","3室, 4室","38000,  元/㎡(均价)"
淘金半山御庭,越秀,淘金,淘金西街18号,110000, 元/㎡(均价),总价1053-3400(万/套),在售,建面 102-205㎡,"绿化率高, 人车分流, 贴心物业, 近地铁","3室, 4室, 5室","110000,  元/㎡(均价)"
汇金国际金融中心,天河,金融城,黄埔大道中660号,43000, 元/㎡(均价),总价800(万/套),在售,,"车位充足, 人车分流, 国央企, 品牌房企",,"43000,  元/㎡(均价)"
汇金国际金融中心,天河,金融城,黄埔大道中660号,43000, 元/㎡(均价),总价800(万/套),在售,,"车位充足, 大型社区, 国央企, 品牌房企",,"43000,  元/㎡(均价)"
保利金沙大都汇,白云,金沙洲,环洲二路86号（沙贝地铁站A1出口）,20000, 元/㎡(均价),总价81-140(万/套),在售,建面 30-42㎡,"人车分流, 大型社区, 国央企, 品牌房企",2室,"20000,  元/㎡(均价)"
中交汇通中心,南沙,明珠湾,江灵北路和纵三路交汇处,22000, 元/㎡(均价),总价88-183(万/套),在售,建面 49-102㎡,"低总价, 人车分流, 大型社区, 国央企",1室,"22000,  元/㎡(均价)"
香江天赋,增城,凤凰城,广园东开创大道北埔南路翡翠绿洲内部,27000, 元/㎡(均价),总价280(万/套),在售,建面 88-204㎡,"车位充足, 人车分流, 品牌房企, 健身跑道","4室, 5室","27000,  元/㎡(均价)"
广州钢铁博汇,黄埔,开发西区,广州经济技术开发区西基工业区西基路,32000, 元/㎡(均价),总价345(万/套),待售,,"大型社区, 国央企, 品牌房企, 公交直达",,"32000,  元/㎡(均价)"
建发央玺,白云,石井,石潭路568号,40000, 元/㎡(均价),总价800(万/套),在售,建面 98-196㎡,"车位充足, 人车分流, 国央企, 品牌房企",5室,"40000,  元/㎡(均价)"
首创碧桂园悦山府,增城,荔城增江,增江区狮尾路2号,11000, 元/㎡(均价),总价110-135(万/套),在售,建面 97-114㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","11000,  元/㎡(均价)"
沁园,黄埔,香雪,开源大道201号,57000, 元/㎡(均价),总价950-2350(万/套),在售,建面 170-367㎡,"车位充足, 绿化率高, 置换改善, 休闲会所","5室, 6室","57000,  元/㎡(均价)"
仟信广场,从化,河滨北路,仟信街12号,12500, 元/㎡(均价),总价140-250(万/套),在售,建面 108-150㎡,"车位充足, 绿化率高, 儿童乐园, 近地铁",3室,"12500,  元/㎡(均价)"
中冶·逸璟台,黄埔,科学城,永顺大道长岭路以北（长岭居小学西北侧300米）,50000, 元/㎡(均价),总价505-1000(万/套),在售,建面 96-212㎡,"车位充足, 绿化率高, 国央企, 品牌房企","2室, 5室","50000,  元/㎡(均价)"
康大龙祥汇,黄埔,知识城,中新知识城旺村地铁站旁,40000, 元/㎡(均价),总价350-580(万/套),在售,建面 106-174㎡,"车位充足, 绿化率高, 国央企, 置换改善","2室, 3室, 4室","40000,  元/㎡(均价)"
保利时代,从化,江浦街,广东省广州市从化区灌村路凤鸣西四街5号,12500, 元/㎡(均价),总价86-160(万/套),在售,建面 61-113㎡,"低总价, 车位充足, 绿化率高, 国央企","2室, 3室","12500,  元/㎡(均价)"
中国中铁·诺德名著,增城,荔城西区,荔城街明慧路12号,18000, 元/㎡(均价),总价200(万/套),在售,建面 98-128㎡,"车位充足, 人车分流, 国央企, 品牌房企",,"18000,  元/㎡(均价)"
方舟公馆,荔湾,东塱,东沙大道16号,价格待定,,,在售,,"车位充足, 人车分流, 贴心物业, 自持商业",,价格待定
岭南V谷,荔湾,菊树,花地大道南657号,20000, 元/㎡(均价),总价150(万/套),在售,,"人车分流, 大型社区, 国央企, 品牌房企",,"20000,  元/㎡(均价)"
岭南V谷,荔湾,菊树,花地大道南657号,21000, 元/㎡(均价),总价100-120(万/套),在售,建面 45-55㎡,"低单价, 低总价, 绿化率高, 人车分流","1室, 2室","21000,  元/㎡(均价)"
天健云山府,白云,白云大道南,白云大道南397号,110000, 元/㎡(均价),总价1430-1496(万/套),在售,建面 75-144㎡,"车位充足, 人车分流, 国央企, 品牌房企",4室,"110000,  元/㎡(均价)"
百花山庄,增城,荔城西区,百花路88号,18000, 元/㎡(均价),总价185-445(万/套),在售,建面 95-255㎡,"车位充足, 绿化率高, 置换改善, 私属庭院","3室, 4室","18000,  元/㎡(均价)"
保利中海金地·大国璟,增城,荔城西区,增城大道南467号,13000, 元/㎡(均价),总价110-220(万/套),在售,建面 73-124㎡,"低单价, 低总价, 车位充足, 大型社区","3室, 4室","13000,  元/㎡(均价)"
时代绿庭山语,南沙,大岗镇,潭灵大道大岗镇政府旁,21000, 元/㎡(均价),总价185-270(万/套),待售,建面 43-120㎡,"低单价, 低总价, 绿化率高, 人车分流","2室, 3室","21000,  元/㎡(均价)"
广地花园,番禺,星河湾,广州番禺华快出口左侧,27000, 元/㎡(均价),总价270-540(万/套),在售,建面 74-167㎡,"低单价, 低总价, 车位充足, 低密居所","2室, 3室, 4室","27000,  元/㎡(均价)"
天健云山府,白云,白云大道南,白云大道南397号,60000, 元/㎡(均价),总价350(万/套),在售,,"车位充足, 人车分流, 国央企, 品牌房企",,"60000,  元/㎡(均价)"
越秀星汇海珠湾204地块滨水独栋商业,海珠,工业大道中,广州市海珠区广纸路40号,62000, 元/㎡(均价),总价4050(万/套),在售,,"大型社区, 国央企, 品牌房企, 近地铁",,"62000,  元/㎡(均价)"
星悦轩,白云,马务,黄石西顺兴路31-35号,31000, 元/㎡(均价),总价282-362(万/套),在售,建面 74-110㎡,"低总价, 车位充足, 人车分流, 地铁沿线",3室,"31000,  元/㎡(均价)"
中海熙园,南沙,东涌,东涌吉祥西路（文化广场旁）,48000, 元/㎡(均价),总价450-830(万/套),在售,建面 88-131㎡,"绿化率高, 低密居所, 国央企, 置换改善","4室, 5室","48000,  元/㎡(均价)"
保利国际金融中心（花都）,花都,花城街,三东大道以北、天贵路以西，花都三东大道与天贵路交汇处（区政府旁）,18000, 元/㎡(均价),总价310-940(万/套),在售,建面 166-528㎡,"车位充足, 人车分流, 国央企, 品牌房企",1室,"18000,  元/㎡(均价)"
美的云筑,南沙,鱼窝头,鱼窝头体育文化广场对面,价格待定,,,待售,,"人车分流, 小型社区, 品牌房企, 健身跑道",,价格待定
中交蓝色海湾,南沙,南沙港,港前大道南沙客运港对面,价格待定,,,待售,,"车位充足, 大型社区, 国央企, 品牌房企",,价格待定
中交蓝色海湾,南沙,南沙港,港前大道南沙客运港对面,价格待定,,,待售,,"车位充足, 大型社区, 国央企, 品牌房企",,价格待定
合家和府,从化,旺城片区,城郊街城新路136号,价格待定,,,待售,,"人车分流, 小型社区, 公交直达, 开发区",,价格待定
华润置地润悦,增城,荔城西区,增城大道475号,12500, 元/㎡(均价),总价115-270(万/套),在售,建面 80-140㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","12500,  元/㎡(均价)"
广州敏捷绿湖首府,增城,石滩镇,挂绿新城石滩广场旁(地铁16号线石滩站),25000, 元/㎡(均价),总价400(万/套),在售,建面 338㎡,"人车分流, 大型社区, 品牌房企, 健身跑道",1室,"25000,  元/㎡(均价)"
时代绿庭山语,南沙,大岗镇,潭灵大道大岗镇政府旁,25000, 元/㎡(均价),总价200(万/套),待售,,"车位充足, 人车分流, 品牌房企, 健身跑道",,"25000,  元/㎡(均价)"
源海仙村一号,增城,石滩镇,荔新大道与仙村大道交汇处,20000, 元/㎡(均价),总价280(万/套),在售,,"车位充足, 人车分流, 水系园林, 公交直达",,"20000,  元/㎡(均价)"
阳光城兰园翡澜花园,花都,新区,凤凰南路汇沣水产市场B栋喜盟国际影城东侧50米处,21000, 元/㎡(均价),总价180-320(万/套),在售,建面 90-122㎡,"车位充足, 绿化率高, 品牌房企, 近地铁","3室, 4室","21000,  元/㎡(均价)"
金时花园,增城,荔城增江,增江街纬六路5号,14000, 元/㎡(均价),总价130-171(万/套),在售,建面 86-121㎡,"车位充足, 人车分流, 品牌房企, 入户花园",1室,"14000,  元/㎡(均价)"
招商金茂保利和府,从化,旧城区,和鸣路,13500, 元/㎡(均价),总价110-195(万/套),在售,建面 68-120㎡,"绿化率高, 人车分流, 国央企, 品牌房企","3室, 4室","13500,  元/㎡(均价)"
合景朗云花园,白云,夏茅,机场路3080号夏茅地铁站旁,30000, 元/㎡(均价),总价330-360(万/套),在售,建面 91-121㎡,"低单价, 低总价, 车位充足, 绿化率高",4室,"30000,  元/㎡(均价)"
伟腾云星,白云,黄边,鹤龙一路766-782号,38000, 元/㎡(均价),总价295-525(万/套),在售,建面 82-130㎡,"低总价, 车位充足, 绿化率高, 入户花园","2室, 3室","38000,  元/㎡(均价)"
得天和苑,增城,永宁,新新五路8号,12500, 元/㎡(均价),总价125-145(万/套),在售,建面 89-120㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","12500,  元/㎡(均价)"
