字段1_文本,字段3,字段4,字段6,字段7_文本,字段8,字段9,字段10,字段11,字段13,字段14,字段15,字段16,字段17,字段18,字段19
霍英东集团·南天名苑,在售,番禺,洛溪,洛浦街洛溪环岛北路8号,4室,5室,,建面 140-480㎡,车位充足,低密居所,国央企,置换改善,90000, 元/㎡(均价),总价1120-6300(万/套)
卓粤卓雅名苑,在售,花都,花城街,建设北路223号,2室,3室,4室,建面 77-125㎡,低单价,低总价,车位充足,绿化率高,14500, 元/㎡(均价),总价130-180(万/套)
万科幸福誉1期,在售,黄埔,知识城,中新知识城•地铁何棠下站（麦当劳旁）,4室,,,建面 66-166㎡,车位充足,绿化率高,国央企,品牌房企,31000, 元/㎡(均价),总价550(万/套)
科城山庄峻森园,待售,黄埔,科学城,峻祥路与峻福路交汇处,3室,4室,,建面 63-185㎡,大型社区,近地铁,地铁沿线,大平层,41000, 元/㎡(均价),总价530-670(万/套)
珠江国际城,在售,从化,神岗镇,广州地铁14号线神岗站A出口前行约400米,3室,4室,,建面 79-200㎡,低单价,低总价,车位充足,绿化率高,8500, 元/㎡(均价),总价73-320(万/套)
富雅都市华庭,在售,增城,新塘北,汇太东路233号,1室,3室,4室,建面 38-116㎡,人车分流,大型社区,避暑,儿童乐园,15600, 元/㎡(均价),总价65-220(万/套)
珠光山水御苑,在售,从化,江浦街,广州市从化温泉大道13号,4室,,,建面 141-171㎡,低单价,车位充足,绿化率高,健身跑道,8000, 元/㎡(均价),总价175(万/套)
致岭假日花园,在售,花都,狮岭镇,花都狮岭大道6号,3室,4室,,建面 94-111㎡,低单价,低总价,车位充足,绿化率高,13000, 元/㎡(均价),总价135-190(万/套)
尚东阳光雅苑,在售,增城,沙村,新塘镇西宁西路618号,1室,2室,3室,建面 49-143㎡,绿化率高,人车分流,品牌房企,入户花园,14000, 元/㎡(均价),总价65-185(万/套)
荔富湖畔,在售,增城,朱村,朱村街朱村大道东88号,3室,4室,,建面 104-168㎡,车位充足,绿化率高,品牌房企,入户花园,14000, 元/㎡(均价),总价142-235(万/套)
南沙金茂湾,在售,南沙,明珠湾,南沙明珠湾灵山岛尖沙嘴中路以南,1室,,,建面 138-230㎡,车位充足,大型社区,国央企,品牌房企,16000, 元/㎡(均价),总价455(万/套)
湾际·滨江,在售,南沙,进港大道,滨海路和倚涛三街交汇处,3室,5室,6室,建面 89-172㎡,低总价,人车分流,大型社区,品牌房企,26000, 元/㎡(均价),总价180-350(万/套)
海珠湖景峰,在售,海珠,南洲,南洲路761号-819号,2室,3室,,建面 69-133㎡,低总价,车位充足,绿化率高,多轨交汇,45000, 元/㎡(均价),总价280-400(万/套)
臻尚苑,在售,番禺,广州南站,广州市番禺区石壁街道石洲中路100号,2室,3室,,建面 96-118㎡,低单价,低总价,绿化率高,人车分流,28000, 元/㎡(均价),总价280-472(万/套)
合汇·中央广场,在售,增城,荔城中区,荔景大道合汇·中央广场,2室,3室,5室,建面 78-174㎡,人车分流,大型社区,品牌房企,入户花园,21000, 元/㎡(均价),总价267-574(万/套)
大城云山,在售,从化,太平镇,广从南路1033号,3室,,,建面 121-142㎡,绿化率高,低密居所,置换改善,高品质小区,13000, 元/㎡(均价),总价250(万/套)
珠江源昌花园,在售,南沙,横沥,珠江街新广三路1号,3室,4室,,建面 79-123㎡,低单价,低总价,绿化率高,人车分流,20000, 元/㎡(均价),总价235-250(万/套)
江源半岛花园,在售,天河,金融城,黄埔大道车陂南路1、3、5、7号(4、5号线地铁交汇处南侧),2室,3室,,建面 70-127㎡,绿化率高,人车分流,品牌房企,近地铁,100000, 元/㎡(均价),总价630-963(万/套)
惠百氏广场,在售,增城,白江,增城新塘大林边路6号（13号线白江站D1口100米）,2室,3室,,建面 75-130㎡,人车分流,大型社区,自持商业,近地铁,15000, 元/㎡(均价),总价126-239(万/套)
仁安花园,在售,增城,朱村,广州市增城区朱村街朱宁公路1号、3号、5号,2室,3室,,建面 80-93㎡,低单价,低总价,绿化率高,人车分流,11000, 元/㎡(均价),总价100-110(万/套)
紫泉流溪湾,在售,从化,太平镇,105国道从化太平段紫泉流溪湾,,,,建面 88-203㎡,车位充足,绿化率高,入户花园,临近高速,16000, 元/㎡(均价),总价195(万/套)
中泰天境,在售,黄埔,知识城,九龙镇萝岗广汕公路与九龙大道交汇处,4室,,,建面 130㎡,低单价,低总价,车位充足,绿化率高,23000, 元/㎡(均价),总价300(万/套)
嘉御豪庭,在售,增城,石滩镇,石滩大道南128号,2室,3室,4室,建面 67-133㎡,低单价,人车分流,大型社区,儿童乐园,12600, 元/㎡(均价),总价97-170(万/套)
合景誉山国际,在售,增城,永宁,增城区新新大道合景誉山国际营销中心,3室,,,建面 74-142㎡,低单价,低总价,绿化率高,人车分流,10000, 元/㎡(均价),总价80(万/套)
凯德·中新里,在售,黄埔,知识城,广州市黄埔区九龙大道地铁棠下站C口南向100米,2室,3室,4室,建面 76-140㎡,低单价,低总价,车位充足,绿化率高,21000, 元/㎡(均价),总价135-300(万/套)
顺丰翠园,在售,白云,石井,石井兆丰路120号,3室,4室,,建面 80-172㎡,低单价,低总价,车位充足,绿化率高,25000, 元/㎡(均价),总价185-450(万/套)
中海亚运城,在售,番禺,亚运城,广州市番禺区康体路亚运城销售中心（4号线海傍站A出口）,2室,3室,4室,建面 87-250㎡,低单价,低总价,绿化率高,人车分流,25000, 元/㎡(均价),总价200-700(万/套)
华标峰湖御境,在售,黄埔,科学城,广州市黄埔区广汕公路与天鹿南路交汇处 广州地铁6号线黄陂地铁站（导航地址：华标峰湖御境售楼部）,4室,8室,9室,建面 328-648㎡,车位充足,低密居所,置换改善,养老舒适,57000, 元/㎡(均价),总价1800-3240(万/套)
南沙珠江湾,在售,南沙,南沙湾,漾滨路和海滨路交汇处,1室,2室,3室,建面 35-99㎡,低单价,低总价,人车分流,大型社区,9000, 元/㎡(均价),总价35-100(万/套)
尚上名筑,在售,番禺,亚运城,亚运大道尚上名筑,2室,3室,,建面 78-137㎡,低单价,低总价,绿化率高,人车分流,24000, 元/㎡(均价),总价210-360(万/套)
金泽豪庭,在售,增城,白江,广州市增城区新塘镇金泽路1号,3室,4室,,建面 53-121㎡,人车分流,大型社区,近地铁,地铁沿线,15200, 元/㎡(均价),总价144-205(万/套)
金融街花溪小镇,在售,花都,花东镇,花都大道东228号,1室,2室,3室,建面 71-132㎡,低单价,低总价,车位充足,绿化率高,10000, 元/㎡(均价),总价70-185(万/套)
华海·悦湾,在售,南沙,南沙港,广州市南沙区黄山鲁森林公园东门,2室,3室,,建面 78-119㎡,低单价,低总价,车位充足,人车分流,17500, 元/㎡(均价),总价130-220(万/套)
越秀星汇海珠湾,在售,海珠,工业大道中,广州市海珠区工业大道中广纸路40号,3室,4室,5室,建面 33-223㎡,绿化率高,人车分流,国央企,品牌房企,30000, 元/㎡(均价),总价300-750(万/套)
金时花园,在售,增城,荔城增江,增江街纬六路5号,2室,3室,4室,建面 84-140㎡,低单价,低总价,车位充足,人车分流,9300, 元/㎡(均价),总价78-131(万/套)
石滩第一城,在售,增城,石滩镇,广州市增城区石滩镇立新东路56号,3室,,,建面 89-132㎡,低单价,低总价,车位充足,人车分流,12000, 元/㎡(均价),总价155-160(万/套)
雅宝新城,在售,花都,秀全街,新华街平步大道中131号,3室,,,建面 100-195㎡,低总价,车位充足,绿化率高,水系园林,16800, 元/㎡(均价),总价169-230(万/套)
山璟轩,在售,增城,新塘南,新塘镇广深大道东107号（新塘牛仔城对面）,3室,,,建面 62-87㎡,小型社区,封闭管理,地铁沿线,公交直达,19500, 元/㎡(均价),总价120-125(万/套)
汇港威华雅苑,在售,增城,朱村,朱村大道东178号,3室,,,建面 85-113㎡,低单价,低总价,车位充足,人车分流,12000, 元/㎡(均价),总价136(万/套)
源海仙村一号,在售,增城,石滩镇,荔新大道与仙村大道交汇处,2室,3室,,建面 86-129㎡,低单价,车位充足,人车分流,入户花园,12500, 元/㎡(均价),总价138-212(万/套)
元邦山清水秀,在售,花都,狮岭镇,山前大道1242号,3室,4室,,建面 95-136㎡,低单价,低总价,绿化率高,低密居所,8500, 元/㎡(均价),总价94-145(万/套)
三江盛汇,待售,增城,石滩镇,石滩镇沙庄光明西路100号,,,,建面 111-144㎡,低单价,绿化率高,大三居,现房,12000, 元/㎡(均价),总价135-173(万/套)
合和新城,在售,花都,镜湖大道,广东省广州市花都区迎宾大道3号,2室,3室,4室,建面 75-207㎡,车位充足,大型社区,近地铁,地铁沿线,19000, 元/㎡(均价),总价180-457(万/套)
南沙湾御苑,在售,南沙,南沙港,进港大道和港前大道交汇处,4室,,,建面 103-255㎡,低单价,车位充足,低密居所,置换改善,22000, 元/㎡(均价),总价600(万/套)
叠溪花园,在售,增城,朱村,朱村街道朱石路以东,3室,,,建面 77-126㎡,低单价,低总价,车位充足,人车分流,10500, 元/㎡(均价),总价96-122(万/套)
大宏锦绣,在售,南沙,南沙湾,环市大道南南沙小学对面300米处,3室,4室,,建面 123-142㎡,车位充足,人车分流,自持商业,近地铁,25000, 元/㎡(均价),总价310-360(万/套)
绿地珑玥府,在售,增城,荔城增江,大道南（纬四路口）,3室,4室,,建面 98-138㎡,车位充足,人车分流,国央企,品牌房企,17000, 元/㎡(均价),总价168-250(万/套)
中交汇通中心,在售,南沙,明珠湾,江灵北路和纵三路交汇处,,,,,车位充足,人车分流,国央企,品牌房企,38000, 元/㎡(均价),总价400(万/套)
合生湖山国际,在售,增城,凤凰城,广州增城新塘镇陈家林路合生湖山国际营销中心,2室,3室,4室,建面 80-135㎡,大型社区,封闭管理,品牌房企,儿童乐园,16000, 元/㎡(均价),总价132-225(万/套)
嘉东广场,在售,从化,旺城片区,从城大道旁（大广高速城郊出口右转600米）,2室,3室,,建面 81-127㎡,绿化率高,人车分流,儿童乐园,公交直达,12000, 元/㎡(均价),总价98-153(万/套)
合景誉山国际,在售,增城,永宁,新新公路合景誉山国际,2室,,,建面 32-49㎡,绿化率高,人车分流,品牌房企,健身跑道,8500, 元/㎡(均价),总价43(万/套)
腾步大厦,待售,花都,旧区,迎宾大道4号,,,,,小型社区,公交直达,综合商场,超市,价格待定,,
腾步大厦,待售,花都,旧区,迎宾大道4号,,,,,小型社区,公交直达,综合商场,超市,价格待定,,
都湖国际,在售,花都,旧区,新华路96号,3室,5室,,建面 82-247㎡,车位充足,绿化率高,品牌房企,地铁沿线,28000, 元/㎡(均价),总价420-938(万/套)
东江逸珑湾,在售,增城,新塘南,沿江大道39号（甘泉小学东侧）,3室,4室,,建面 89-162㎡,人车分流,大型社区,品牌房企,贴心物业,21000, 元/㎡(均价),总价260-350(万/套)
世茂珠江天鹅湾,待售,海珠,工业大道北,革新路126号,,,,建面 237-294㎡,车位充足,绿化率高,品牌房企,健身跑道,130000, 元/㎡(均价),总价3000(万/套)
敏捷尚品国际,在售,南沙,进港大道,进港大道183号,2室,,,建面 57-93㎡,低单价,低总价,大型社区,品牌房企,9000, 元/㎡(均价),总价57(万/套)
珠江花城,在售,天河,黄村,东圃岐山183号,3室,4室,5室,建面 76-140㎡,绿化率高,人车分流,国央企,品牌房企,50000, 元/㎡(均价),总价400-900(万/套)
保利金沙大都汇,在售,白云,金沙洲,环洲二路86号（沙贝地铁站A1出口）,,,,,低总价,车位充足,人车分流,国央企,60000, 元/㎡(均价),总价700(万/套)
花悦台,在售,花都,狮岭镇,狮岭金狮大道四街花悦台销售中心,3室,,,建面 83-93㎡,低单价,低总价,人车分流,小型社区,9000, 元/㎡(均价),总价80-81(万/套)
星图TOD,在售,增城,新塘北,地铁13号线官湖车辆段（官湖站B出口）,1室,2室,3室,建面 78-135㎡,车位充足,人车分流,国央企,品牌房企,21000, 元/㎡(均价),总价221-391(万/套)
中洲公馆,在售,番禺,市桥,市桥北桥路1号,,,,建面 42-84㎡,车位充足,绿化率高,品牌房企,贴心物业,35000, 元/㎡(均价),总价147(万/套)
美的云筑,在售,南沙,鱼窝头,广州市南沙区东涌镇鱼窝头体育文化广场对面,3室,4室,,建面 83-127㎡,低单价,低总价,车位充足,绿化率高,21000, 元/㎡(均价),总价200-260(万/套)
祈福万景峰,在售,花都,铁路西,新华街望岗路6号,2室,3室,4室,建面 60-143㎡,低总价,人车分流,大型社区,贴心物业,15900, 元/㎡(均价),总价95-188(万/套)
侨建御溪谷北区,在售,增城,中新镇,风光路399号,4室,,,建面 285㎡,车位充足,绿化率高,置换改善,近地铁,21500, 元/㎡(均价),总价613(万/套)
天睿,在售,番禺,会江,石北工业路（大石地铁站与会江地铁站之间）,2室,3室,4室,建面 43-185㎡,绿化率高,人车分流,置换改善,贴心物业,22000, 元/㎡(均价),总价125-1280(万/套)
临港国际商务大厦,待售,南沙,万顷沙,龙穴大道中123号,,,,,小型社区,公交直达,近主干道,现房,23000, 元/㎡(均价),
珠江铂世湾,在售,番禺,雅居乐,万博.江山高尔夫俱乐部东侧,3室,4室,,建面 105-138㎡,特价好房,低总价,车位充足,绿化率高,38000, 元/㎡(均价),总价390-490(万/套)
淘金半山御庭,在售,越秀,淘金,淘金西街18号,3室,4室,5室,建面 102-205㎡,绿化率高,人车分流,贴心物业,近地铁,110000, 元/㎡(均价),总价1053-3400(万/套)
汇金国际金融中心,在售,天河,金融城,黄埔大道中660号,,,,,车位充足,人车分流,国央企,品牌房企,43000, 元/㎡(均价),总价800(万/套)
汇金国际金融中心,在售,天河,金融城,黄埔大道中660号,,,,,车位充足,大型社区,国央企,品牌房企,43000, 元/㎡(均价),总价800(万/套)
保利金沙大都汇,在售,白云,金沙洲,环洲二路86号（沙贝地铁站A1出口）,2室,,,建面 30-42㎡,人车分流,大型社区,国央企,品牌房企,20000, 元/㎡(均价),总价81-140(万/套)
中交汇通中心,在售,南沙,明珠湾,江灵北路和纵三路交汇处,1室,,,建面 49-102㎡,低总价,人车分流,大型社区,国央企,22000, 元/㎡(均价),总价88-183(万/套)
香江天赋,在售,增城,凤凰城,广园东开创大道北埔南路翡翠绿洲内部,4室,5室,,建面 88-204㎡,车位充足,人车分流,品牌房企,健身跑道,27000, 元/㎡(均价),总价280(万/套)
广州钢铁博汇,待售,黄埔,开发西区,广州经济技术开发区西基工业区西基路,,,,,大型社区,国央企,品牌房企,公交直达,32000, 元/㎡(均价),总价345(万/套)
建发央玺,在售,白云,石井,石潭路568号,5室,,,建面 98-196㎡,车位充足,人车分流,国央企,品牌房企,40000, 元/㎡(均价),总价800(万/套)
首创碧桂园悦山府,在售,增城,荔城增江,增江区狮尾路2号,3室,4室,,建面 97-114㎡,低单价,低总价,车位充足,绿化率高,11000, 元/㎡(均价),总价110-135(万/套)
沁园,在售,黄埔,香雪,开源大道201号,5室,6室,,建面 170-367㎡,车位充足,绿化率高,置换改善,休闲会所,57000, 元/㎡(均价),总价950-2350(万/套)
仟信广场,在售,从化,河滨北路,仟信街12号,3室,,,建面 108-150㎡,车位充足,绿化率高,儿童乐园,近地铁,12500, 元/㎡(均价),总价140-250(万/套)
中冶·逸璟台,在售,黄埔,科学城,永顺大道长岭路以北（长岭居小学西北侧300米）,2室,5室,,建面 96-212㎡,车位充足,绿化率高,国央企,品牌房企,50000, 元/㎡(均价),总价505-1000(万/套)
康大龙祥汇,在售,黄埔,知识城,中新知识城旺村地铁站旁,2室,3室,4室,建面 106-174㎡,车位充足,绿化率高,国央企,置换改善,40000, 元/㎡(均价),总价350-580(万/套)
保利时代,在售,从化,江浦街,广东省广州市从化区灌村路凤鸣西四街5号,2室,3室,,建面 61-113㎡,低总价,车位充足,绿化率高,国央企,12500, 元/㎡(均价),总价86-160(万/套)
中国中铁·诺德名著,在售,增城,荔城西区,荔城街明慧路12号,,,,建面 98-128㎡,车位充足,人车分流,国央企,品牌房企,18000, 元/㎡(均价),总价200(万/套)
方舟公馆,在售,荔湾,东塱,东沙大道16号,,,,,车位充足,人车分流,贴心物业,自持商业,价格待定,,
岭南V谷,在售,荔湾,菊树,花地大道南657号,,,,,人车分流,大型社区,国央企,品牌房企,20000, 元/㎡(均价),总价150(万/套)
岭南V谷,在售,荔湾,菊树,花地大道南657号,1室,2室,,建面 45-55㎡,低单价,低总价,绿化率高,人车分流,21000, 元/㎡(均价),总价100-120(万/套)
天健云山府,在售,白云,白云大道南,白云大道南397号,4室,,,建面 75-144㎡,车位充足,人车分流,国央企,品牌房企,110000, 元/㎡(均价),总价1430-1496(万/套)
百花山庄,在售,增城,荔城西区,百花路88号,3室,4室,,建面 95-255㎡,车位充足,绿化率高,置换改善,私属庭院,18000, 元/㎡(均价),总价185-445(万/套)
保利中海金地·大国璟,在售,增城,荔城西区,增城大道南467号,3室,4室,,建面 73-124㎡,低单价,低总价,车位充足,大型社区,13000, 元/㎡(均价),总价110-220(万/套)
时代绿庭山语,待售,南沙,大岗镇,潭灵大道大岗镇政府旁,2室,3室,,建面 43-120㎡,低单价,低总价,绿化率高,人车分流,21000, 元/㎡(均价),总价185-270(万/套)
广地花园,在售,番禺,星河湾,广州番禺华快出口左侧,2室,3室,4室,建面 74-167㎡,低单价,低总价,车位充足,低密居所,27000, 元/㎡(均价),总价270-540(万/套)
天健云山府,在售,白云,白云大道南,白云大道南397号,,,,,车位充足,人车分流,国央企,品牌房企,60000, 元/㎡(均价),总价350(万/套)
越秀星汇海珠湾204地块滨水独栋商业,在售,海珠,工业大道中,广州市海珠区广纸路40号,,,,,大型社区,国央企,品牌房企,近地铁,62000, 元/㎡(均价),总价4050(万/套)
星悦轩,在售,白云,马务,黄石西顺兴路31-35号,3室,,,建面 74-110㎡,低总价,车位充足,人车分流,地铁沿线,31000, 元/㎡(均价),总价282-362(万/套)
中海熙园,在售,南沙,东涌,东涌吉祥西路（文化广场旁）,4室,5室,,建面 88-131㎡,绿化率高,低密居所,国央企,置换改善,48000, 元/㎡(均价),总价450-830(万/套)
保利国际金融中心（花都）,在售,花都,花城街,三东大道以北、天贵路以西，花都三东大道与天贵路交汇处（区政府旁）,1室,,,建面 166-528㎡,车位充足,人车分流,国央企,品牌房企,18000, 元/㎡(均价),总价310-940(万/套)
美的云筑,待售,南沙,鱼窝头,鱼窝头体育文化广场对面,,,,,人车分流,小型社区,品牌房企,健身跑道,价格待定,,
中交蓝色海湾,待售,南沙,南沙港,港前大道南沙客运港对面,,,,,车位充足,大型社区,国央企,品牌房企,价格待定,,
中交蓝色海湾,待售,南沙,南沙港,港前大道南沙客运港对面,,,,,车位充足,大型社区,国央企,品牌房企,价格待定,,
合家和府,待售,从化,旺城片区,城郊街城新路136号,,,,,人车分流,小型社区,公交直达,开发区,价格待定,,
华润置地润悦,在售,增城,荔城西区,增城大道475号,3室,4室,,建面 80-140㎡,低单价,低总价,车位充足,人车分流,12500, 元/㎡(均价),总价115-270(万/套)
广州敏捷绿湖首府,在售,增城,石滩镇,挂绿新城石滩广场旁(地铁16号线石滩站),1室,,,建面 338㎡,人车分流,大型社区,品牌房企,健身跑道,25000, 元/㎡(均价),总价400(万/套)
时代绿庭山语,待售,南沙,大岗镇,潭灵大道大岗镇政府旁,,,,,车位充足,人车分流,品牌房企,健身跑道,25000, 元/㎡(均价),总价200(万/套)
源海仙村一号,在售,增城,石滩镇,荔新大道与仙村大道交汇处,,,,,车位充足,人车分流,水系园林,公交直达,20000, 元/㎡(均价),总价280(万/套)
阳光城兰园翡澜花园,在售,花都,新区,凤凰南路汇沣水产市场B栋喜盟国际影城东侧50米处,3室,4室,,建面 90-122㎡,车位充足,绿化率高,品牌房企,近地铁,21000, 元/㎡(均价),总价180-320(万/套)
金时花园,在售,增城,荔城增江,增江街纬六路5号,1室,,,建面 86-121㎡,车位充足,人车分流,品牌房企,入户花园,14000, 元/㎡(均价),总价130-171(万/套)
招商金茂保利和府,在售,从化,旧城区,和鸣路,3室,4室,,建面 68-120㎡,绿化率高,人车分流,国央企,品牌房企,13500, 元/㎡(均价),总价110-195(万/套)
合景朗云花园,在售,白云,夏茅,机场路3080号夏茅地铁站旁,4室,,,建面 91-121㎡,低单价,低总价,车位充足,绿化率高,30000, 元/㎡(均价),总价330-360(万/套)
伟腾云星,在售,白云,黄边,鹤龙一路766-782号,2室,3室,,建面 82-130㎡,低总价,车位充足,绿化率高,入户花园,38000, 元/㎡(均价),总价295-525(万/套)
得天和苑,在售,增城,永宁,新新五路8号,3室,4室,,建面 89-120㎡,低单价,低总价,车位充足,人车分流,12500, 元/㎡(均价),总价125-145(万/套)
尊悦台,在售,南沙,大岗镇,广州市南沙区康宁路与荔湾路交叉路口往西约50米,2室,3室,,建面 81-124㎡,低单价,低总价,车位充足,人车分流,14500, 元/㎡(均价),总价135(万/套)
颐德湾尚,在售,南沙,明珠湾,建设一路（南沙体育馆北侧）,3室,4室,,建面 142-265㎡,车位充足,绿化率高,国央企,品牌房企,30000, 元/㎡(均价),总价400-770(万/套)
颐德湾尚,待售,南沙,明珠湾,建设一路（南沙体育馆北侧）,,,,,人车分流,大型社区,国央企,品牌房企,价格待定,,
颐德湾尚,待售,南沙,明珠湾,建设一路（南沙体育馆北侧）,,,,,人车分流,大型社区,国央企,品牌房企,价格待定,,
嘉河湾8号,在售,花都,铁路西,荔红北路8号,2室,3室,,建面 96-149㎡,低单价,低总价,车位充足,绿化率高,13000, 元/㎡(均价),总价125-300(万/套)
品秀·星瀚,在售,番禺,广州南站,番禺区石北工业路,2室,3室,4室,建面 73-115㎡,低总价,车位充足,人车分流,国央企,31000, 元/㎡(均价),总价290-390(万/套)
嘉华广场,在售,花都,镜湖大道,花都区迎宾大道185号（花都皇冠假日酒店旁）（地铁清塘站D出口）,1室,,,建面 43-57㎡,车位充足,人车分流,近地铁,地铁沿线,13000, 元/㎡(均价),总价55-90(万/套)
天马河·名荟,在售,花都,铁路西,荔红南路2号,1室,2室,,建面 47-79㎡,低单价,低总价,小型社区,封闭管理,14500, 元/㎡(均价),总价53-90(万/套)
富城华庭,在售,增城,荔城增江,广汕公路增江小学西侧,2室,3室,4室,建面 99-156㎡,低单价,低总价,车位充足,人车分流,9500, 元/㎡(均价),总价98-156(万/套)
中铁诺德·阅泷,在售,白云,江高镇,江高镇广花路430号,2室,3室,4室,建面 79-129㎡,低单价,低总价,车位充足,人车分流,18000, 元/㎡(均价),总价132-260(万/套)
品实·云湖花城,在售,白云,石井,石沙路,3室,4室,5室,建面 70-141㎡,低总价,绿化率高,人车分流,国央企,33000, 元/㎡(均价),总价240-452(万/套)
港航中心,在售,黄埔,鱼珠,黄埔大道东983号,2室,3室,,建面 60-138㎡,绿化率高,人车分流,国央企,品牌房企,40000, 元/㎡(均价),总价270-621(万/套)
时代印记,在售,黄埔,知识城,广东省广州市黄埔区亨美西路,3室,4室,,建面 87-136㎡,低单价,低总价,绿化率高,人车分流,18000, 元/㎡(均价),总价155-245(万/套)
珠光金融城壹号,在售,天河,东圃,黄埔大道东724号,3室,4室,,建面 232-261㎡,低单价,车位充足,人车分流,品牌房企,5000, 元/㎡(均价),总价3700-4000(万/套)
凯德凯荔花园,在售,增城,荔城西区,明慧路3号,3室,4室,,建面 86-134㎡,车位充足,人车分流,品牌房企,健身跑道,15500, 元/㎡(均价),总价140-225(万/套)
越秀逸泉锦翠,在售,从化,江浦街,环市东路广外实验小学东侧,3室,4室,,建面 71-92㎡,低单价,低总价,绿化率高,人车分流,9500, 元/㎡(均价),总价79-105(万/套)
中国铁建海语熙岸,在售,南沙,南沙区府,广州市南沙区美心路中国铁建海语熙岸,3室,4室,5室,建面 89-260㎡,车位充足,绿化率高,国央企,品牌房企,30000, 元/㎡(均价),总价268-730(万/套)
富力新城,在售,黄埔,开发东区,黄埔区东鹏大道与宏明路交界处（富力新城销售中心）,2室,3室,4室,建面 73-120㎡,低单价,低总价,绿化率高,人车分流,25000, 元/㎡(均价),总价170-310(万/套)
天河云商汇,在售,天河,智慧城,华观路,1室,3室,,建面 32-58㎡,低总价,人车分流,封闭管理,自持商业,29000, 元/㎡(均价),总价160-260(万/套)
珠光云山壹号,在售,白云,同和,广州大道北云灏街157医院地块,4室,,,建面 215㎡,车位充足,绿化率高,置换改善,高品质小区,100000, 元/㎡(均价),总价1700(万/套)
加富花园,在售,番禺,石碁,莲塘路3号,2室,3室,,建面 51-118㎡,低单价,低总价,低密居所,人车分流,22000, 元/㎡(均价),总价189-259(万/套)
保利335金融中心,待售,增城,凤凰城,汽车城大道57号,,,,,车位充足,大型社区,国央企,品牌房企,价格待定,,
龙光天瀛,在售,番禺,市桥,景观大道东侧,2室,3室,4室,建面 89-175㎡,低单价,低总价,车位充足,绿化率高,26000, 元/㎡(均价),总价258-880(万/套)
远洋芙蓉墅,在售,花都,狮岭镇,狮岭镇芙蓉嶂度假区西南处,1室,,,建面 75-133㎡,低单价,低总价,车位充足,绿化率高,10000, 元/㎡(均价),总价59(万/套)
