标题,地区,位置,具体位置,resblock-tag1 resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
华标峰湖御境,黄埔,科学城,广州市黄埔区广汕公路与天鹿南路交汇处 广州地铁6号线黄陂地铁站（导航地址：华标峰湖御境售楼部）,"车位充足, 低密居所, 置换改善, 养老舒适",57000,总价1800-3240(万/套),在售,"4室, 8室, 9室",建面 328-648㎡
南沙珠江湾,南沙,南沙湾,漾滨路和海滨路交汇处,"低单价, 低总价, 人车分流, 大型社区",9000,总价35-100(万/套),在售,"1室, 2室, 3室",建面 35-99㎡
尚上名筑,番禺,亚运城,亚运大道尚上名筑,"低单价, 低总价, 绿化率高, 人车分流",24000,总价210-360(万/套),在售,"2室, 3室",建面 78-137㎡
金泽豪庭,增城,白江,广州市增城区新塘镇金泽路1号,"人车分流, 大型社区, 近地铁, 地铁沿线",15200,总价144-205(万/套),在售,"3室, 4室",建面 53-121㎡
金融街花溪小镇,花都,花东镇,花都大道东228号,"低单价, 低总价, 车位充足, 绿化率高",10000,总价70-185(万/套),在售,"1室, 2室, 3室",建面 71-132㎡
华海·悦湾,南沙,南沙港,广州市南沙区黄山鲁森林公园东门,"低单价, 低总价, 车位充足, 人车分流",17500,总价130-220(万/套),在售,"2室, 3室",建面 78-119㎡
越秀星汇海珠湾,海珠,工业大道中,广州市海珠区工业大道中广纸路40号,"绿化率高, 人车分流, 国央企, 品牌房企",30000,总价300-750(万/套),在售,"3室, 4室, 5室",建面 33-223㎡
金时花园,增城,荔城增江,增江街纬六路5号,"低单价, 低总价, 车位充足, 人车分流",9300,总价78-131(万/套),在售,"2室, 3室, 4室",建面 84-140㎡
石滩第一城,增城,石滩镇,广州市增城区石滩镇立新东路56号,"低单价, 低总价, 车位充足, 人车分流",12000,总价155-160(万/套),在售,3室,建面 89-132㎡
雅宝新城,花都,秀全街,新华街平步大道中131号,"低总价, 车位充足, 绿化率高, 水系园林",16800,总价169-230(万/套),在售,3室,建面 100-195㎡
山璟轩,增城,新塘南,新塘镇广深大道东107号（新塘牛仔城对面）,"小型社区, 封闭管理, 地铁沿线, 公交直达",19500,总价120-125(万/套),在售,3室,建面 62-87㎡
汇港威华雅苑,增城,朱村,朱村大道东178号,"低单价, 低总价, 车位充足, 人车分流",12000,总价136(万/套),在售,3室,建面 85-113㎡
源海仙村一号,增城,石滩镇,荔新大道与仙村大道交汇处,"低单价, 车位充足, 人车分流, 入户花园",12500,总价138-212(万/套),在售,"2室, 3室",建面 86-129㎡
元邦山清水秀,花都,狮岭镇,山前大道1242号,"低单价, 低总价, 绿化率高, 低密居所",8500,总价94-145(万/套),在售,"3室, 4室",建面 95-136㎡
三江盛汇,增城,石滩镇,石滩镇沙庄光明西路100号,"低单价, 绿化率高, 大三居, 现房",12000,总价135-173(万/套),待售,,建面 111-144㎡
合和新城,花都,镜湖大道,广东省广州市花都区迎宾大道3号,"车位充足, 大型社区, 近地铁, 地铁沿线",19000,总价180-457(万/套),在售,"2室, 3室, 4室",建面 75-207㎡
南沙湾御苑,南沙,南沙港,进港大道和港前大道交汇处,"低单价, 车位充足, 低密居所, 置换改善",22000,总价600(万/套),在售,4室,建面 103-255㎡
叠溪花园,增城,朱村,朱村街道朱石路以东,"低单价, 低总价, 车位充足, 人车分流",10500,总价96-122(万/套),在售,3室,建面 77-126㎡
大宏锦绣,南沙,南沙湾,环市大道南南沙小学对面300米处,"车位充足, 人车分流, 自持商业, 近地铁",25000,总价310-360(万/套),在售,"3室, 4室",建面 123-142㎡
绿地珑玥府,增城,荔城增江,大道南（纬四路口）,"车位充足, 人车分流, 国央企, 品牌房企",17000,总价168-250(万/套),在售,"3室, 4室",建面 98-138㎡
中交汇通中心,南沙,明珠湾,江灵北路和纵三路交汇处,"车位充足, 人车分流, 国央企, 品牌房企",38000,总价400(万/套),在售,,
合生湖山国际,增城,凤凰城,广州增城新塘镇陈家林路合生湖山国际营销中心,"大型社区, 封闭管理, 品牌房企, 儿童乐园",16000,总价132-225(万/套),在售,"2室, 3室, 4室",建面 80-135㎡
嘉东广场,从化,旺城片区,从城大道旁（大广高速城郊出口右转600米）,"绿化率高, 人车分流, 儿童乐园, 公交直达",12000,总价98-153(万/套),在售,"2室, 3室",建面 81-127㎡
合景誉山国际,增城,永宁,新新公路合景誉山国际,"绿化率高, 人车分流, 品牌房企, 健身跑道",8500,总价43(万/套),在售,2室,建面 32-49㎡
腾步大厦,花都,旧区,迎宾大道4号,"小型社区, 公交直达, 综合商场, 超市",价格待定,,待售,,
腾步大厦,花都,旧区,迎宾大道4号,"小型社区, 公交直达, 综合商场, 超市",价格待定,,待售,,
都湖国际,花都,旧区,新华路96号,"车位充足, 绿化率高, 品牌房企, 地铁沿线",28000,总价420-938(万/套),在售,"3室, 5室",建面 82-247㎡
东江逸珑湾,增城,新塘南,沿江大道39号（甘泉小学东侧）,"人车分流, 大型社区, 品牌房企, 贴心物业",21000,总价260-350(万/套),在售,"3室, 4室",建面 89-162㎡
世茂珠江天鹅湾,海珠,工业大道北,革新路126号,"车位充足, 绿化率高, 品牌房企, 健身跑道",130000,总价3000(万/套),待售,,建面 237-294㎡
敏捷尚品国际,南沙,进港大道,进港大道183号,"低单价, 低总价, 大型社区, 品牌房企",9000,总价57(万/套),在售,2室,建面 57-93㎡
珠江花城,天河,黄村,东圃岐山183号,"绿化率高, 人车分流, 国央企, 品牌房企",50000,总价400-900(万/套),在售,"3室, 4室, 5室",建面 76-140㎡
保利金沙大都汇,白云,金沙洲,环洲二路86号（沙贝地铁站A1出口）,"低总价, 车位充足, 人车分流, 国央企",60000,总价700(万/套),在售,,
花悦台,花都,狮岭镇,狮岭金狮大道四街花悦台销售中心,"低单价, 低总价, 人车分流, 小型社区",9000,总价80-81(万/套),在售,3室,建面 83-93㎡
星图TOD,增城,新塘北,地铁13号线官湖车辆段（官湖站B出口）,"车位充足, 人车分流, 国央企, 品牌房企",21000,总价221-391(万/套),在售,"1室, 2室, 3室",建面 78-135㎡
中洲公馆,番禺,市桥,市桥北桥路1号,"车位充足, 绿化率高, 品牌房企, 贴心物业",35000,总价147(万/套),在售,,建面 42-84㎡
美的云筑,南沙,鱼窝头,广州市南沙区东涌镇鱼窝头体育文化广场对面,"低单价, 低总价, 车位充足, 绿化率高",21000,总价200-260(万/套),在售,"3室, 4室",建面 83-127㎡
祈福万景峰,花都,铁路西,新华街望岗路6号,"低总价, 人车分流, 大型社区, 贴心物业",15900,总价95-188(万/套),在售,"2室, 3室, 4室",建面 60-143㎡
侨建御溪谷北区,增城,中新镇,风光路399号,"车位充足, 绿化率高, 置换改善, 近地铁",21500,总价613(万/套),在售,4室,建面 285㎡
天睿,番禺,会江,石北工业路（大石地铁站与会江地铁站之间）,"绿化率高, 人车分流, 置换改善, 贴心物业",22000,总价125-1280(万/套),在售,"2室, 3室, 4室",建面 43-185㎡
临港国际商务大厦,南沙,万顷沙,龙穴大道中123号,"小型社区, 公交直达, 近主干道, 现房",23000,,待售,,
珠江铂世湾,番禺,雅居乐,万博.江山高尔夫俱乐部东侧,"特价好房, 低总价, 车位充足, 绿化率高",38000,总价390-490(万/套),在售,"3室, 4室",建面 105-138㎡
淘金半山御庭,越秀,淘金,淘金西街18号,"绿化率高, 人车分流, 贴心物业, 近地铁",110000,总价1053-3400(万/套),在售,"3室, 4室, 5室",建面 102-205㎡
汇金国际金融中心,天河,金融城,黄埔大道中660号,"车位充足, 人车分流, 国央企, 品牌房企",43000,总价800(万/套),在售,,
汇金国际金融中心,天河,金融城,黄埔大道中660号,"车位充足, 大型社区, 国央企, 品牌房企",43000,总价800(万/套),在售,,
保利金沙大都汇,白云,金沙洲,环洲二路86号（沙贝地铁站A1出口）,"人车分流, 大型社区, 国央企, 品牌房企",20000,总价81-140(万/套),在售,2室,建面 30-42㎡
中交汇通中心,南沙,明珠湾,江灵北路和纵三路交汇处,"低总价, 人车分流, 大型社区, 国央企",22000,总价88-183(万/套),在售,1室,建面 49-102㎡
香江天赋,增城,凤凰城,广园东开创大道北埔南路翡翠绿洲内部,"车位充足, 人车分流, 品牌房企, 健身跑道",27000,总价280(万/套),在售,"4室, 5室",建面 88-204㎡
广州钢铁博汇,黄埔,开发西区,广州经济技术开发区西基工业区西基路,"大型社区, 国央企, 品牌房企, 公交直达",32000,总价345(万/套),待售,,
建发央玺,白云,石井,石潭路568号,"车位充足, 人车分流, 国央企, 品牌房企",40000,总价800(万/套),在售,5室,建面 98-196㎡
首创碧桂园悦山府,增城,荔城增江,增江区狮尾路2号,"低单价, 低总价, 车位充足, 绿化率高",11000,总价110-135(万/套),在售,"3室, 4室",建面 97-114㎡
沁园,黄埔,香雪,开源大道201号,"车位充足, 绿化率高, 置换改善, 休闲会所",57000,总价950-2350(万/套),在售,"5室, 6室",建面 170-367㎡
仟信广场,从化,河滨北路,仟信街12号,"车位充足, 绿化率高, 儿童乐园, 近地铁",12500,总价140-250(万/套),在售,3室,建面 108-150㎡
中冶·逸璟台,黄埔,科学城,永顺大道长岭路以北（长岭居小学西北侧300米）,"车位充足, 绿化率高, 国央企, 品牌房企",50000,总价505-1000(万/套),在售,"2室, 5室",建面 96-212㎡
康大龙祥汇,黄埔,知识城,中新知识城旺村地铁站旁,"车位充足, 绿化率高, 国央企, 置换改善",40000,总价350-580(万/套),在售,"2室, 3室, 4室",建面 106-174㎡
保利时代,从化,江浦街,广东省广州市从化区灌村路凤鸣西四街5号,"低总价, 车位充足, 绿化率高, 国央企",12500,总价86-160(万/套),在售,"2室, 3室",建面 61-113㎡
中国中铁·诺德名著,增城,荔城西区,荔城街明慧路12号,"车位充足, 人车分流, 国央企, 品牌房企",18000,总价200(万/套),在售,,建面 98-128㎡
方舟公馆,荔湾,东塱,东沙大道16号,"车位充足, 人车分流, 贴心物业, 自持商业",价格待定,,在售,,
岭南V谷,荔湾,菊树,花地大道南657号,"人车分流, 大型社区, 国央企, 品牌房企",20000,总价150(万/套),在售,,
岭南V谷,荔湾,菊树,花地大道南657号,"低单价, 低总价, 绿化率高, 人车分流",21000,总价100-120(万/套),在售,"1室, 2室",建面 45-55㎡
天健云山府,白云,白云大道南,白云大道南397号,"车位充足, 人车分流, 国央企, 品牌房企",110000,总价1430-1496(万/套),在售,4室,建面 75-144㎡
百花山庄,增城,荔城西区,百花路88号,"车位充足, 绿化率高, 置换改善, 私属庭院",18000,总价185-445(万/套),在售,"3室, 4室",建面 95-255㎡
保利中海金地·大国璟,增城,荔城西区,增城大道南467号,"低单价, 低总价, 车位充足, 大型社区",13000,总价110-220(万/套),在售,"3室, 4室",建面 73-124㎡
时代绿庭山语,南沙,大岗镇,潭灵大道大岗镇政府旁,"低单价, 低总价, 绿化率高, 人车分流",21000,总价185-270(万/套),待售,"2室, 3室",建面 43-120㎡
广地花园,番禺,星河湾,广州番禺华快出口左侧,"低单价, 低总价, 车位充足, 低密居所",27000,总价270-540(万/套),在售,"2室, 3室, 4室",建面 74-167㎡
天健云山府,白云,白云大道南,白云大道南397号,"车位充足, 人车分流, 国央企, 品牌房企",60000,总价350(万/套),在售,,
越秀星汇海珠湾204地块滨水独栋商业,海珠,工业大道中,广州市海珠区广纸路40号,"大型社区, 国央企, 品牌房企, 近地铁",62000,总价4050(万/套),在售,,
星悦轩,白云,马务,黄石西顺兴路31-35号,"低总价, 车位充足, 人车分流, 地铁沿线",31000,总价282-362(万/套),在售,3室,建面 74-110㎡
中海熙园,南沙,东涌,东涌吉祥西路（文化广场旁）,"绿化率高, 低密居所, 国央企, 置换改善",48000,总价450-830(万/套),在售,"4室, 5室",建面 88-131㎡
保利国际金融中心（花都）,花都,花城街,三东大道以北、天贵路以西，花都三东大道与天贵路交汇处（区政府旁）,"车位充足, 人车分流, 国央企, 品牌房企",18000,总价310-940(万/套),在售,1室,建面 166-528㎡
美的云筑,南沙,鱼窝头,鱼窝头体育文化广场对面,"人车分流, 小型社区, 品牌房企, 健身跑道",价格待定,,待售,,
中交蓝色海湾,南沙,南沙港,港前大道南沙客运港对面,"车位充足, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
中交蓝色海湾,南沙,南沙港,港前大道南沙客运港对面,"车位充足, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
合家和府,从化,旺城片区,城郊街城新路136号,"人车分流, 小型社区, 公交直达, 开发区",价格待定,,待售,,
华润置地润悦,增城,荔城西区,增城大道475号,"低单价, 低总价, 车位充足, 人车分流",12500,总价115-270(万/套),在售,"3室, 4室",建面 80-140㎡
广州敏捷绿湖首府,增城,石滩镇,挂绿新城石滩广场旁(地铁16号线石滩站),"人车分流, 大型社区, 品牌房企, 健身跑道",25000,总价400(万/套),在售,1室,建面 338㎡
时代绿庭山语,南沙,大岗镇,潭灵大道大岗镇政府旁,"车位充足, 人车分流, 品牌房企, 健身跑道",25000,总价200(万/套),待售,,
源海仙村一号,增城,石滩镇,荔新大道与仙村大道交汇处,"车位充足, 人车分流, 水系园林, 公交直达",20000,总价280(万/套),在售,,
阳光城兰园翡澜花园,花都,新区,凤凰南路汇沣水产市场B栋喜盟国际影城东侧50米处,"车位充足, 绿化率高, 品牌房企, 近地铁",21000,总价180-320(万/套),在售,"3室, 4室",建面 90-122㎡
金时花园,增城,荔城增江,增江街纬六路5号,"车位充足, 人车分流, 品牌房企, 入户花园",14000,总价130-171(万/套),在售,1室,建面 86-121㎡
招商金茂保利和府,从化,旧城区,和鸣路,"绿化率高, 人车分流, 国央企, 品牌房企",13500,总价110-195(万/套),在售,"3室, 4室",建面 68-120㎡
合景朗云花园,白云,夏茅,机场路3080号夏茅地铁站旁,"低单价, 低总价, 车位充足, 绿化率高",30000,总价330-360(万/套),在售,4室,建面 91-121㎡
伟腾云星,白云,黄边,鹤龙一路766-782号,"低总价, 车位充足, 绿化率高, 入户花园",38000,总价295-525(万/套),在售,"2室, 3室",建面 82-130㎡
得天和苑,增城,永宁,新新五路8号,"低单价, 低总价, 车位充足, 人车分流",12500,总价125-145(万/套),在售,"3室, 4室",建面 89-120㎡
尊悦台,南沙,大岗镇,广州市南沙区康宁路与荔湾路交叉路口往西约50米,"低单价, 低总价, 车位充足, 人车分流",14500,总价135(万/套),在售,"2室, 3室",建面 81-124㎡
颐德湾尚,南沙,明珠湾,建设一路（南沙体育馆北侧）,"车位充足, 绿化率高, 国央企, 品牌房企",30000,总价400-770(万/套),在售,"3室, 4室",建面 142-265㎡
颐德湾尚,南沙,明珠湾,建设一路（南沙体育馆北侧）,"人车分流, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
颐德湾尚,南沙,明珠湾,建设一路（南沙体育馆北侧）,"人车分流, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
嘉河湾8号,花都,铁路西,荔红北路8号,"低单价, 低总价, 车位充足, 绿化率高",13000,总价125-300(万/套),在售,"2室, 3室",建面 96-149㎡
品秀·星瀚,番禺,广州南站,番禺区石北工业路,"低总价, 车位充足, 人车分流, 国央企",31000,总价290-390(万/套),在售,"2室, 3室, 4室",建面 73-115㎡
嘉华广场,花都,镜湖大道,花都区迎宾大道185号（花都皇冠假日酒店旁）（地铁清塘站D出口）,"车位充足, 人车分流, 近地铁, 地铁沿线",13000,总价55-90(万/套),在售,1室,建面 43-57㎡
天马河·名荟,花都,铁路西,荔红南路2号,"低单价, 低总价, 小型社区, 封闭管理",14500,总价53-90(万/套),在售,"1室, 2室",建面 47-79㎡
富城华庭,增城,荔城增江,广汕公路增江小学西侧,"低单价, 低总价, 车位充足, 人车分流",9500,总价98-156(万/套),在售,"2室, 3室, 4室",建面 99-156㎡
中铁诺德·阅泷,白云,江高镇,江高镇广花路430号,"低单价, 低总价, 车位充足, 人车分流",18000,总价132-260(万/套),在售,"2室, 3室, 4室",建面 79-129㎡
品实·云湖花城,白云,石井,石沙路,"低总价, 绿化率高, 人车分流, 国央企",33000,总价240-452(万/套),在售,"3室, 4室, 5室",建面 70-141㎡
港航中心,黄埔,鱼珠,黄埔大道东983号,"绿化率高, 人车分流, 国央企, 品牌房企",40000,总价270-621(万/套),在售,"2室, 3室",建面 60-138㎡
时代印记,黄埔,知识城,广东省广州市黄埔区亨美西路,"低单价, 低总价, 绿化率高, 人车分流",18000,总价155-245(万/套),在售,"3室, 4室",建面 87-136㎡
珠光金融城壹号,天河,东圃,黄埔大道东724号,"低单价, 车位充足, 人车分流, 品牌房企",5000,总价3700-4000(万/套),在售,"3室, 4室",建面 232-261㎡
凯德凯荔花园,增城,荔城西区,明慧路3号,"车位充足, 人车分流, 品牌房企, 健身跑道",15500,总价140-225(万/套),在售,"3室, 4室",建面 86-134㎡
越秀逸泉锦翠,从化,江浦街,环市东路广外实验小学东侧,"低单价, 低总价, 绿化率高, 人车分流",9500,总价79-105(万/套),在售,"3室, 4室",建面 71-92㎡
中国铁建海语熙岸,南沙,南沙区府,广州市南沙区美心路中国铁建海语熙岸,"车位充足, 绿化率高, 国央企, 品牌房企",30000,总价268-730(万/套),在售,"3室, 4室, 5室",建面 89-260㎡
富力新城,黄埔,开发东区,黄埔区东鹏大道与宏明路交界处（富力新城销售中心）,"低单价, 低总价, 绿化率高, 人车分流",25000,总价170-310(万/套),在售,"2室, 3室, 4室",建面 73-120㎡
天河云商汇,天河,智慧城,华观路,"低总价, 人车分流, 封闭管理, 自持商业",29000,总价160-260(万/套),在售,"1室, 3室",建面 32-58㎡
珠光云山壹号,白云,同和,广州大道北云灏街157医院地块,"车位充足, 绿化率高, 置换改善, 高品质小区",100000,总价1700(万/套),在售,4室,建面 215㎡
加富花园,番禺,石碁,莲塘路3号,"低单价, 低总价, 低密居所, 人车分流",22000,总价189-259(万/套),在售,"2室, 3室",建面 51-118㎡
保利335金融中心,增城,凤凰城,汽车城大道57号,"车位充足, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
龙光天瀛,番禺,市桥,景观大道东侧,"低单价, 低总价, 车位充足, 绿化率高",26000,总价258-880(万/套),在售,"2室, 3室, 4室",建面 89-175㎡
远洋芙蓉墅,花都,狮岭镇,狮岭镇芙蓉嶂度假区西南处,"低单价, 低总价, 车位充足, 绿化率高",10000,总价59(万/套),在售,1室,建面 75-133㎡
天颐华府,番禺,市桥北,富怡路罗家村段6号,"车位充足, 绿化率高, 养老舒适, 休闲会所",65000,总价2000(万/套),在售,,建面 262㎡
广州院子,增城,荔城增江,广州市增城区增江大埔围村张冚山顶,"低单价, 低总价, 车位充足, 人车分流",7800,总价72-120(万/套),在售,"3室, 4室",建面 95-140㎡
时代倾城（中新）,增城,中新镇,广州市增城区中新镇新墩路168号,"低单价, 人车分流, 大型社区, 品牌房企",13000,总价105-156(万/套),在售,3室,建面 85-130㎡
电建地产·洺悦玉府,番禺,市桥,禺山西路与景观大道交汇处大夫山森林公园东南侧（番禺气象局旁）,"人车分流, 小型社区, 国央企, 品牌房企",价格待定,,待售,,
电建地产·洺悦玉府,番禺,市桥,广州市番禺沙头街禺山大道南侧,"低单价, 低总价, 车位充足, 人车分流",22000,总价230-275(万/套),在售,"3室, 4室",建面 105-125㎡
五矿壹云台,黄埔,科学城,广州市黄埔区长岭居长岭路以北，领头新村以东,"车位充足, 绿化率高, 国央企, 品牌房企",34000,总价460(万/套),在售,,建面 81-164㎡
广州万科城,增城,永宁,广州市增城区永宁街道新新4路5号,"低单价, 低总价, 车位充足, 人车分流",10000,总价89-120(万/套),在售,"3室, 4室",建面 78-100㎡
雅居乐黄埔创新中心,黄埔,黄埔区府,丰乐北路段与碧山村路交汇处,"低总价, 大型社区, 品牌房企, 贴心物业",价格待定,,待售,,
雅居乐黄埔创新中心,黄埔,黄埔区府,丰乐北路段与碧山村路交汇处,"低总价, 大型社区, 品牌房企, 贴心物业",价格待定,,待售,,
凯德山海连城二期,番禺,莲花山,利丰大道连海路39号,"低单价, 低总价, 车位充足, 绿化率高",24000,总价215-1100(万/套),在售,"3室, 4室",建面 85-211㎡
