标题,地区,位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
星图TOD,增城,新塘北,在售,21000,2室,106.5,"车位充足, 人车分流, 国央企, 品牌房企",306.0,9.95227771670556,5.723585101952381,4.66814498514948
中洲公馆,番禺,市桥,在售,35000,4室,63.0,"车位充足, 绿化率高, 品牌房企, 贴心物业",147.0,10.46310334047155,4.990432586778736,4.143134726391533
美的云筑,南沙,鱼窝头,在售,21000,4室,105.0,"低单价, 低总价, 车位充足, 绿化率高",230.0,9.95227771670556,5.438079308923196,4.653960350157523
祈福万景峰,花都,铁路西,在售,15900,3室,101.5,"低总价, 人车分流, 大型社区, 贴心物业",141.5,9.674074388208323,4.952299717083292,4.620058798481842
侨建御溪谷北区,增城,中新镇,在售,21500,4室,285.0,"车位充足, 绿化率高, 置换改善, 近地铁",613.0,9.975808214115753,6.418364935936212,5.652489180268651
天睿,番禺,会江,在售,22000,3室,114.0,"绿化率高, 人车分流, 置换改善, 贴心物业",702.5,9.998797732340453,6.5546454012079005,4.736198448394496
珠江铂世湾,番禺,雅居乐,在售,38000,4室,121.5,"特价好房, 低总价, 车位充足, 绿化率高",440.0,10.545341438708522,6.0867747269123065,4.799914262780603
汇金国际金融中心,天河,金融城,在售,43000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",800.0,10.668955394675699,6.684611727667927,4.68213122712422
汇金国际金融中心,天河,金融城,在售,43000,4室,108.0,"车位充足, 大型社区, 国央企, 品牌房企",800.0,10.668955394675699,6.684611727667927,4.68213122712422
保利金沙大都汇,白云,金沙洲,在售,20000,2室,36.0,"人车分流, 大型社区, 国央企, 品牌房企",110.5,9.903487552536127,4.705015520957808,3.58351893845611
中交汇通中心,南沙,明珠湾,在售,22000,1室,75.5,"低总价, 人车分流, 大型社区, 国央企",135.5,9.998797732340453,4.908971640319756,4.324132656254979
香江天赋,增城,凤凰城,在售,27000,4室,146.0,"车位充足, 人车分流, 品牌房企, 健身跑道",280.0,10.203592144986466,5.634789603169249,4.983606621708336
广州钢铁博汇,黄埔,开发西区,待售,32000,4室,108.0,"大型社区, 国央企, 品牌房企, 公交直达",345.0,10.373491181781864,5.84354441703136,4.68213122712422
建发央玺,白云,石井,在售,40000,5室,147.0,"车位充足, 人车分流, 国央企, 品牌房企",800.0,10.596634733096073,6.684611727667927,4.990432586778736
首创碧桂园悦山府,增城,荔城增江,在售,11000,4室,105.5,"低单价, 低总价, 车位充足, 绿化率高",122.5,9.305650551780507,4.808111029984782,4.658710952916121
沁园,黄埔,香雪,在售,57000,6室,268.5,"车位充足, 绿化率高, 置换改善, 休闲会所",1650.0,10.950806546816688,7.408530566894626,5.5928509139489195
仟信广场,从化,河滨北路,在售,12500,3室,129.0,"车位充足, 绿化率高, 儿童乐园, 近地铁",195.0,9.433483923290392,5.272999558563747,4.859812404361672
中冶·逸璟台,黄埔,科学城,在售,50000,4室,154.0,"车位充足, 绿化率高, 国央企, 品牌房企",752.5,10.819778284410283,6.6234009966230305,5.0369526024136295
康大龙祥汇,黄埔,知识城,在售,40000,3室,140.0,"车位充足, 绿化率高, 国央企, 置换改善",465.0,10.596634733096073,6.142037405587356,4.941642422609304
保利时代,从化,江浦街,在售,12500,2室,87.0,"低总价, 车位充足, 绿化率高, 国央企",123.0,9.433483923290392,4.812184355372417,4.465908118654584
中国中铁·诺德名著,增城,荔城西区,在售,18000,4室,113.0,"车位充足, 人车分流, 国央企, 品牌房企",200.0,9.798127036878302,5.298317366548036,4.727387818712341
岭南V谷,荔湾,菊树,在售,20000,4室,108.0,"人车分流, 大型社区, 国央企, 品牌房企",150.0,9.903487552536127,5.0106352940962555,4.68213122712422
岭南V谷,荔湾,菊树,在售,21000,2室,50.0,"低单价, 低总价, 绿化率高, 人车分流",110.0,9.95227771670556,4.700480365792417,3.912023005428146
百花山庄,增城,荔城西区,在售,18000,4室,175.0,"车位充足, 绿化率高, 置换改善, 私属庭院",315.0,9.798127036878302,5.752572638825633,5.1647859739235145
保利中海金地·大国璟,增城,荔城西区,在售,13000,4室,98.5,"低单价, 低总价, 车位充足, 大型社区",165.0,9.472704636443673,5.10594547390058,4.590056548178043
时代绿庭山语,南沙,大岗镇,待售,21000,2室,81.5,"低单价, 低总价, 绿化率高, 人车分流",227.5,9.95227771670556,5.427150238391005,4.400603020246817
广地花园,番禺,星河湾,在售,27000,3室,120.5,"低单价, 低总价, 车位充足, 低密居所",405.0,10.203592144986466,6.003887067106539,4.791649752930709
天健云山府,白云,白云大道南,在售,60000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",350.0,11.002099841204238,5.857933154483459,4.68213122712422
越秀星汇海珠湾204地块滨水独栋商业,海珠,工业大道中,在售,62000,4室,108.0,"大型社区, 国央企, 品牌房企, 近地铁",4050.0,11.03488966402723,8.306472160100585,4.68213122712422
星悦轩,白云,马务,在售,31000,3室,92.0,"低总价, 车位充足, 人车分流, 地铁沿线",322.0,10.341742483467284,5.7745515455444085,4.5217885770490405
中海熙园,南沙,东涌,在售,48000,4室,109.5,"绿化率高, 低密居所, 国央企, 置换改善",640.0,10.778956289890028,6.461468176353717,4.695924549256556
保利国际金融中心（花都）,花都,花城街,在售,18000,1室,347.0,"车位充足, 人车分流, 国央企, 品牌房企",625.0,9.798127036878302,6.437751649736401,5.849324779946859
华润置地润悦,增城,荔城西区,在售,12500,4室,110.0,"低单价, 低总价, 车位充足, 人车分流",192.5,9.433483923290392,5.260096153727839,4.700480365792417
广州敏捷绿湖首府,增城,石滩镇,在售,25000,1室,338.0,"人车分流, 大型社区, 品牌房企, 健身跑道",400.0,10.126631103850338,5.991464547107982,5.823045895483019
时代绿庭山语,南沙,大岗镇,待售,25000,4室,108.0,"车位充足, 人车分流, 品牌房企, 健身跑道",200.0,10.126631103850338,5.298317366548036,4.68213122712422
源海仙村一号,增城,石滩镇,在售,20000,4室,108.0,"车位充足, 人车分流, 水系园林, 公交直达",280.0,9.903487552536127,5.634789603169249,4.68213122712422
阳光城兰园翡澜花园,花都,新区,在售,21000,4室,106.0,"车位充足, 绿化率高, 品牌房企, 近地铁",250.0,9.95227771670556,5.521460917862246,4.663439094112067
金时花园,增城,荔城增江,在售,14000,1室,103.5,"车位充足, 人车分流, 品牌房企, 入户花园",150.5,9.546812608597396,5.01396308418893,4.639571612705423
招商金茂保利和府,从化,旧城区,在售,13500,4室,94.0,"绿化率高, 人车分流, 国央企, 品牌房企",152.5,9.51044496442652,5.0271645960474665,4.543294782270004
合景朗云花园,白云,夏茅,在售,30000,4室,106.0,"低单价, 低总价, 车位充足, 绿化率高",345.0,10.308952660644293,5.84354441703136,4.663439094112067
伟腾云星,白云,黄边,在售,38000,2室,106.0,"低总价, 车位充足, 绿化率高, 入户花园",410.0,10.545341438708522,6.016157159698354,4.663439094112067
得天和苑,增城,永宁,在售,12500,4室,104.5,"低单价, 低总价, 车位充足, 人车分流",135.0,9.433483923290392,4.90527477843843,4.6491870714048655
尊悦台,南沙,大岗镇,在售,14500,2室,102.5,"低单价, 低总价, 车位充足, 人车分流",135.0,9.581903928408666,4.90527477843843,4.629862798578463
颐德湾尚,南沙,明珠湾,在售,30000,4室,203.5,"车位充足, 绿化率高, 国央企, 品牌房企",585.0,10.308952660644293,6.371611847231857,5.31566600488265
嘉河湾8号,花都,铁路西,在售,13000,2室,122.5,"低单价, 低总价, 车位充足, 绿化率高",212.5,9.472704636443673,5.358941988364472,4.808111029984782
品秀·星瀚,番禺,广州南站,在售,31000,3室,94.0,"低总价, 车位充足, 人车分流, 国央企",340.0,10.341742483467284,5.8289456176102075,4.543294782270004
嘉华广场,花都,镜湖大道,在售,13000,1室,50.0,"车位充足, 人车分流, 近地铁, 地铁沿线",72.5,9.472704636443673,4.283586561860629,3.912023005428146
天马河·名荟,花都,铁路西,在售,14500,2室,63.0,"低单价, 低总价, 小型社区, 封闭管理",71.5,9.581903928408666,4.269697449699962,4.143134726391533
富城华庭,增城,荔城增江,在售,9500,3室,127.5,"低单价, 低总价, 车位充足, 人车分流",127.0,9.159047077588632,4.844187086458591,4.848116364598481
中铁诺德·阅泷,白云,江高镇,在售,18000,3室,104.0,"低单价, 低总价, 车位充足, 人车分流",196.0,9.798127036878302,5.278114659230517,4.6443908991413725
品实·云湖花城,白云,石井,在售,33000,4室,105.5,"低总价, 绿化率高, 人车分流, 国央企",346.0,10.404262840448617,5.846438775057725,4.658710952916121
港航中心,黄埔,鱼珠,在售,40000,2室,99.0,"绿化率高, 人车分流, 国央企, 品牌房企",445.5,10.596634733096073,6.099197246910864,4.59511985013459
时代印记,黄埔,知识城,在售,18000,4室,111.5,"低单价, 低总价, 绿化率高, 人车分流",200.0,9.798127036878302,5.298317366548036,4.7140245909001735
珠光金融城壹号,天河,东圃,在售,5000,4室,246.5,"低单价, 车位充足, 人车分流, 品牌房企",3850.0,8.517193191416238,8.25582842728183,5.5073619934827445
凯德凯荔花园,增城,荔城西区,在售,15500,4室,110.0,"车位充足, 人车分流, 品牌房企, 健身跑道",182.5,9.648595302907339,5.206750173022546,4.700480365792417
越秀逸泉锦翠,从化,江浦街,在售,9500,4室,81.5,"低单价, 低总价, 绿化率高, 人车分流",92.0,9.159047077588632,4.5217885770490405,4.400603020246817
中国铁建海语熙岸,南沙,南沙区府,在售,30000,4室,174.5,"车位充足, 绿化率高, 国央企, 品牌房企",499.0,10.308952660644293,6.212606095751519,5.161924741642482
富力新城,黄埔,开发东区,在售,25000,3室,96.5,"低单价, 低总价, 绿化率高, 人车分流",240.0,10.126631103850338,5.480638923341991,4.56954300834494
天河云商汇,天河,智慧城,在售,29000,2室,45.0,"低总价, 人车分流, 封闭管理, 自持商业",210.0,10.275051108968611,5.3471075307174685,3.8066624897703196
加富花园,番禺,石碁,在售,22000,2室,84.5,"低单价, 低总价, 低密居所, 人车分流",224.0,9.998797732340453,5.4116460518550396,4.436751534363128
龙光天瀛,番禺,市桥,在售,26000,3室,132.0,"低单价, 低总价, 车位充足, 绿化率高",569.0,10.165851817003619,6.343880434126331,4.882801922586371
远洋芙蓉墅,花都,狮岭镇,在售,10000,1室,104.0,"低单价, 低总价, 车位充足, 绿化率高",59.0,9.210340371976184,4.07753744390572,4.6443908991413725
天颐华府,番禺,市桥北,在售,65000,4室,262.0,"车位充足, 绿化率高, 养老舒适, 休闲会所",2000.0,11.082142548877775,7.600902459542082,5.568344503761097
广州院子,增城,荔城增江,在售,7800,4室,117.5,"低单价, 低总价, 车位充足, 人车分流",96.0,8.961879012677683,4.564348191467836,4.7664383335842135
时代倾城（中新）,增城,中新镇,在售,13000,3室,107.5,"低单价, 人车分流, 大型社区, 品牌房企",130.5,9.472704636443673,4.871373226762748,4.677490847567717
电建地产·洺悦玉府,番禺,市桥,在售,22000,4室,115.0,"低单价, 低总价, 车位充足, 人车分流",252.5,9.998797732340453,5.531411248715415,4.74493212836325
五矿壹云台,黄埔,科学城,在售,34000,4室,122.5,"车位充足, 绿化率高, 国央企, 品牌房企",460.0,10.4341158035983,6.131226489483141,4.808111029984782
广州万科城,增城,永宁,在售,10000,4室,89.0,"低单价, 低总价, 车位充足, 人车分流",104.5,9.210340371976184,4.6491870714048655,4.48863636973214
凯德山海连城二期,番禺,莲花山,在售,24000,4室,148.0,"低单价, 低总价, 车位充足, 绿化率高",657.5,10.085809109330082,6.48844476405192,4.997212273764115
星河东悦湾,南沙,黄阁,在售,32000,4室,146.5,"特价好房, 车位充足, 人车分流, 品牌房企",556.0,10.373491181781864,6.320768294250582,4.987025428457122
金湖花园,白云,沙太北,在售,45000,4室,120.5,"绿化率高, 低密居所, 置换改善, 养老舒适",555.0,10.714417768752456,6.318968113746434,4.791649752930709
合锦嘉泓·天宇花园,南沙,金洲,在售,17000,4室,152.5,"低单价, 低总价, 车位充足, 人车分流",210.0,9.740968623038354,5.3471075307174685,5.0271645960474665
中交汇通中心,南沙,明珠湾,在售,23000,4室,108.0,"人车分流, 大型社区, 国央企, 品牌房企",400.0,10.043249494911286,5.991464547107982,4.68213122712422
信达·珺悦蓝庭,花都,炭步,在售,11000,4室,95.5,"低单价, 低总价, 车位充足, 人车分流",99.0,9.305650551780507,4.59511985013459,4.5591262474866845
增城中国铁建国际公馆,增城,中新镇,在售,11500,4室,111.0,"低单价, 低总价, 车位充足, 人车分流",189.0,9.350102314351341,5.241747015059643,4.709530201312334
越秀华发·悦见星城,增城,中新镇,在售,7200,4室,89.5,"低单价, 低总价, 车位充足, 人车分流",70.5,8.881836305004146,4.255612709818223,4.4942386252808095
珠江·花屿花城,增城,永宁,在售,11000,4室,87.5,"低单价, 低总价, 车位充足, 人车分流",105.5,9.305650551780507,4.658710952916121,4.471638793363569
御溪世家,增城,中新镇,在售,13000,2室,86.0,"低单价, 低总价, 车位充足, 人车分流",100.0,9.472704636443673,4.605170185988092,4.454347296253507
兰亭香麓,增城,荔城富鹏,在售,11800,3室,99.5,"低单价, 低总价, 车位充足, 人车分流",140.0,9.375854810453756,4.941642422609304,4.600157644164547
东建·明德城,禅城,祖庙,在售,22500,4室,128.0,"佛山楼盘, 人车分流, 大型社区, 品牌房企",370.0,10.021270588192511,5.91350300563827,4.852030263919617
滨江金茂悦,南海,罗村,在售,11000,4室,115.5,"佛山楼盘, 特价好房, 低单价, 绿化率高",207.5,9.305650551780507,5.335131339670753,4.749270529961848
佳兆业·广雅院,南海,平洲,在售,20000,4室,104.5,"佛山楼盘, 人车分流, 大型社区, 品牌房企",240.0,9.903487552536127,5.480638923341991,4.6491870714048655
经纬凯旋世家,鹤山市,鹤山市,在售,6500,4室,115.0,"楼盘, 人车分流, 大型社区, 公交直达",81.5,8.779557455883728,4.400603020246817,4.74493212836325
轩隆雅园,三水,北江新区,在售,9800,2室,99.0,"佛山楼盘, 特价好房, 低总价, 人车分流",97.5,9.190137664658664,4.579852378003801,4.59511985013459
五矿万境水岸,顺德,大良新区,在售,18500,4室,167.5,"佛山楼盘, 车位充足, 绿化率高, 国央企",440.0,9.825526011066415,6.0867747269123065,5.120983351265121
保利中海金地·大国璟,增城,荔城西区,待售,22000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",100.0,9.998797732340453,4.605170185988092,4.68213122712422
卓越晴翠府,番禺,桥南,在售,28000,3室,103.0,"低单价, 低总价, 车位充足, 人车分流",292.5,10.239959789157341,5.678464666671911,4.634728988229636
保利锦绣公馆,白云,南湖,待售,21000,4室,41.5,"绿化率高, 人车分流, 国央企, 品牌房企",90.0,9.95227771670556,4.499809670330265,3.7256934272366524
招商电建南国·雍云邸,白云,石井,在售,25000,4室,83.5,"低单价, 绿化率高, 人车分流, 国央企",210.0,10.126631103850338,5.3471075307174685,4.42484663185681
耀胜新世界广场·耀胜尊府,番禺,汉溪长隆,在售,65000,4室,104.5,"特价好房, 车位充足, 人车分流, 品牌房企",615.0,11.082142548877775,6.421622267806518,4.6491870714048655
首铸·铂瑞云湾,番禺,石楼,在售,24000,4室,120.0,"低单价, 低总价, 车位充足, 绿化率高",345.0,10.085809109330082,5.84354441703136,4.787491742782046
越秀星耀TOD,增城,新塘北,在售,20000,4室,112.5,"车位充足, 人车分流, 近地铁, 地铁沿线",225.0,9.903487552536127,5.41610040220442,4.722953221644475
广州城投·禧悦府,增城,凤凰城,在售,21000,3室,117.5,"车位充足, 人车分流, 国央企, 品牌房企",337.5,9.95227771670556,5.821565510312585,4.7664383335842135
华润置地金沙瑞府,白云,金沙洲,在售,35000,4室,143.0,"绿化率高, 低密居所, 国央企, 置换改善",495.0,10.46310334047155,6.20455776256869,4.962844630259907
建发明珠湾玺,南沙,明珠湾,在售,31000,4室,115.0,"车位充足, 人车分流, 国央企, 品牌房企",450.0,10.341742483467284,6.1092475827643655,4.74493212836325
深业颐泽府,南沙,明珠湾,在售,37000,4室,180.0,"特价好房, 车位充足, 绿化率高, 国央企",670.0,10.51867319162636,6.507277712385012,5.19295685089021
华宇·锦绣云赋,从化,旧城区,在售,15000,4室,92.5,"绿化率高, 人车分流, 品牌房企, 水系园林",136.5,9.615805480084347,4.916324614625014,4.52720864451838
