标题,地区,位置,类型,均价/平方米每元,室厅数,面积,总价,对数均价/平方米每元,对数总价,对数面积,是否是人车分流,是否是车位充足,是否是品牌房企,是否是绿化率高,是否是低总价,是否是国央企,是否是佛山楼盘,是否是低单价
中冶·逸璟台,黄埔,科学城,在售,50000,4室,154.0,752.5,10.819778284410283,6.6234009966230305,5.0369526024136295,0,1,1,1,0,1,0,0
康大龙祥汇,黄埔,知识城,在售,40000,3室,140.0,465.0,10.596634733096073,6.142037405587356,4.941642422609304,0,1,0,1,0,1,0,0
保利时代,从化,江浦街,在售,12500,2室,87.0,123.0,9.433483923290392,4.812184355372417,4.465908118654584,0,1,0,1,1,1,0,0
中国中铁·诺德名著,增城,荔城西区,在售,18000,4室,113.0,200.0,9.798127036878302,5.298317366548036,4.727387818712341,1,1,1,0,0,1,0,0
岭南V谷,荔湾,菊树,在售,20000,4室,108.0,150.0,9.903487552536127,5.0106352940962555,4.68213122712422,1,0,1,0,0,1,0,0
岭南V谷,荔湾,菊树,在售,21000,2室,50.0,110.0,9.95227771670556,4.700480365792417,3.912023005428146,1,0,0,1,1,0,0,1
百花山庄,增城,荔城西区,在售,18000,4室,175.0,315.0,9.798127036878302,5.752572638825633,5.1647859739235145,0,1,0,1,0,0,0,0
保利中海金地·大国璟,增城,荔城西区,在售,13000,4室,98.5,165.0,9.472704636443673,5.10594547390058,4.590056548178043,0,1,0,0,1,0,0,1
时代绿庭山语,南沙,大岗镇,待售,21000,2室,81.5,227.5,9.95227771670556,5.427150238391005,4.400603020246817,1,0,0,1,1,0,0,1
广地花园,番禺,星河湾,在售,27000,3室,120.5,405.0,10.203592144986466,6.003887067106539,4.791649752930709,0,1,0,0,1,0,0,1
天健云山府,白云,白云大道南,在售,60000,4室,108.0,350.0,11.002099841204238,5.857933154483459,4.68213122712422,1,1,1,0,0,1,0,0
越秀星汇海珠湾204地块滨水独栋商业,海珠,工业大道中,在售,62000,4室,108.0,4050.0,11.03488966402723,8.306472160100585,4.68213122712422,0,0,1,0,0,1,0,0
星悦轩,白云,马务,在售,31000,3室,92.0,322.0,10.341742483467284,5.7745515455444085,4.5217885770490405,1,1,0,0,1,0,0,0
中海熙园,南沙,东涌,在售,48000,4室,109.5,640.0,10.778956289890028,6.461468176353717,4.695924549256556,0,0,0,1,0,1,0,0
保利国际金融中心（花都）,花都,花城街,在售,18000,1室,347.0,625.0,9.798127036878302,6.437751649736401,5.849324779946859,1,1,1,0,0,1,0,0
华润置地润悦,增城,荔城西区,在售,12500,4室,110.0,192.5,9.433483923290392,5.260096153727839,4.700480365792417,1,1,0,0,1,0,0,1
广州敏捷绿湖首府,增城,石滩镇,在售,25000,1室,338.0,400.0,10.126631103850338,5.991464547107982,5.823045895483019,1,0,1,0,0,0,0,0
时代绿庭山语,南沙,大岗镇,待售,25000,4室,108.0,200.0,10.126631103850338,5.298317366548036,4.68213122712422,1,1,1,0,0,0,0,0
源海仙村一号,增城,石滩镇,在售,20000,4室,108.0,280.0,9.903487552536127,5.634789603169249,4.68213122712422,1,1,0,0,0,0,0,0
阳光城兰园翡澜花园,花都,新区,在售,21000,4室,106.0,250.0,9.95227771670556,5.521460917862246,4.663439094112067,0,1,1,1,0,0,0,0
金时花园,增城,荔城增江,在售,14000,1室,103.5,150.5,9.546812608597396,5.01396308418893,4.639571612705423,1,1,1,0,0,0,0,0
招商金茂保利和府,从化,旧城区,在售,13500,4室,94.0,152.5,9.51044496442652,5.0271645960474665,4.543294782270004,1,0,1,1,0,1,0,0
合景朗云花园,白云,夏茅,在售,30000,4室,106.0,345.0,10.308952660644293,5.84354441703136,4.663439094112067,0,1,0,1,1,0,0,1
伟腾云星,白云,黄边,在售,38000,2室,106.0,410.0,10.545341438708522,6.016157159698354,4.663439094112067,0,1,0,1,1,0,0,0
得天和苑,增城,永宁,在售,12500,4室,104.5,135.0,9.433483923290392,4.90527477843843,4.6491870714048655,1,1,0,0,1,0,0,1
尊悦台,南沙,大岗镇,在售,14500,2室,102.5,135.0,9.581903928408666,4.90527477843843,4.629862798578463,1,1,0,0,1,0,0,1
颐德湾尚,南沙,明珠湾,在售,30000,4室,203.5,585.0,10.308952660644293,6.371611847231857,5.31566600488265,0,1,1,1,0,1,0,0
嘉河湾8号,花都,铁路西,在售,13000,2室,122.5,212.5,9.472704636443673,5.358941988364472,4.808111029984782,0,1,0,1,1,0,0,1
品秀·星瀚,番禺,广州南站,在售,31000,3室,94.0,340.0,10.341742483467284,5.8289456176102075,4.543294782270004,1,1,0,0,1,1,0,0
嘉华广场,花都,镜湖大道,在售,13000,1室,50.0,72.5,9.472704636443673,4.283586561860629,3.912023005428146,1,1,0,0,0,0,0,0
天马河·名荟,花都,铁路西,在售,14500,2室,63.0,71.5,9.581903928408666,4.269697449699962,4.143134726391533,0,0,0,0,1,0,0,1
富城华庭,增城,荔城增江,在售,9500,3室,127.5,127.0,9.159047077588632,4.844187086458591,4.848116364598481,1,1,0,0,1,0,0,1
中铁诺德·阅泷,白云,江高镇,在售,18000,3室,104.0,196.0,9.798127036878302,5.278114659230517,4.6443908991413725,1,1,0,0,1,0,0,1
品实·云湖花城,白云,石井,在售,33000,4室,105.5,346.0,10.404262840448617,5.846438775057725,4.658710952916121,1,0,0,1,1,1,0,0
港航中心,黄埔,鱼珠,在售,40000,2室,99.0,445.5,10.596634733096073,6.099197246910864,4.59511985013459,1,0,1,1,0,1,0,0
时代印记,黄埔,知识城,在售,18000,4室,111.5,200.0,9.798127036878302,5.298317366548036,4.7140245909001735,1,0,0,1,1,0,0,1
珠光金融城壹号,天河,东圃,在售,5000,4室,246.5,3850.0,8.517193191416238,8.25582842728183,5.5073619934827445,1,1,1,0,0,0,0,1
凯德凯荔花园,增城,荔城西区,在售,15500,4室,110.0,182.5,9.648595302907339,5.206750173022546,4.700480365792417,1,1,1,0,0,0,0,0
越秀逸泉锦翠,从化,江浦街,在售,9500,4室,81.5,92.0,9.159047077588632,4.5217885770490405,4.400603020246817,1,0,0,1,1,0,0,1
中国铁建海语熙岸,南沙,南沙区府,在售,30000,4室,174.5,499.0,10.308952660644293,6.212606095751519,5.161924741642482,0,1,1,1,0,1,0,0
富力新城,黄埔,开发东区,在售,25000,3室,96.5,240.0,10.126631103850338,5.480638923341991,4.56954300834494,1,0,0,1,1,0,0,1
天河云商汇,天河,智慧城,在售,29000,2室,45.0,210.0,10.275051108968611,5.3471075307174685,3.8066624897703196,1,0,0,0,1,0,0,0
加富花园,番禺,石碁,在售,22000,2室,84.5,224.0,9.998797732340453,5.4116460518550396,4.436751534363128,1,0,0,0,1,0,0,1
龙光天瀛,番禺,市桥,在售,26000,3室,132.0,569.0,10.165851817003619,6.343880434126331,4.882801922586371,0,1,0,1,1,0,0,1
远洋芙蓉墅,花都,狮岭镇,在售,10000,1室,104.0,59.0,9.210340371976184,4.07753744390572,4.6443908991413725,0,1,0,1,1,0,0,1
天颐华府,番禺,市桥北,在售,65000,4室,262.0,2000.0,11.082142548877775,7.600902459542082,5.568344503761097,0,1,0,1,0,0,0,0
广州院子,增城,荔城增江,在售,7800,4室,117.5,96.0,8.961879012677683,4.564348191467836,4.7664383335842135,1,1,0,0,1,0,0,1
时代倾城（中新）,增城,中新镇,在售,13000,3室,107.5,130.5,9.472704636443673,4.871373226762748,4.677490847567717,1,0,1,0,0,0,0,1
电建地产·洺悦玉府,番禺,市桥,在售,22000,4室,115.0,252.5,9.998797732340453,5.531411248715415,4.74493212836325,1,1,0,0,1,0,0,1
五矿壹云台,黄埔,科学城,在售,34000,4室,122.5,460.0,10.4341158035983,6.131226489483141,4.808111029984782,0,1,1,1,0,1,0,0
广州万科城,增城,永宁,在售,10000,4室,89.0,104.5,9.210340371976184,4.6491870714048655,4.48863636973214,1,1,0,0,1,0,0,1
凯德山海连城二期,番禺,莲花山,在售,24000,4室,148.0,657.5,10.085809109330082,6.48844476405192,4.997212273764115,0,1,0,1,1,0,0,1
星河东悦湾,南沙,黄阁,在售,32000,4室,146.5,556.0,10.373491181781864,6.320768294250582,4.987025428457122,1,1,1,0,0,0,0,0
金湖花园,白云,沙太北,在售,45000,4室,120.5,555.0,10.714417768752456,6.318968113746434,4.791649752930709,0,0,0,1,0,0,0,0
合锦嘉泓·天宇花园,南沙,金洲,在售,17000,4室,152.5,210.0,9.740968623038354,5.3471075307174685,5.0271645960474665,1,1,0,0,1,0,0,1
中交汇通中心,南沙,明珠湾,在售,23000,4室,108.0,400.0,10.043249494911286,5.991464547107982,4.68213122712422,1,0,1,0,0,1,0,0
信达·珺悦蓝庭,花都,炭步,在售,11000,4室,95.5,99.0,9.305650551780507,4.59511985013459,4.5591262474866845,1,1,0,0,1,0,0,1
增城中国铁建国际公馆,增城,中新镇,在售,11500,4室,111.0,189.0,9.350102314351341,5.241747015059643,4.709530201312334,1,1,0,0,1,0,0,1
越秀华发·悦见星城,增城,中新镇,在售,7200,4室,89.5,70.5,8.881836305004146,4.255612709818223,4.4942386252808095,1,1,0,0,1,0,0,1
珠江·花屿花城,增城,永宁,在售,11000,4室,87.5,105.5,9.305650551780507,4.658710952916121,4.471638793363569,1,1,0,0,1,0,0,1
御溪世家,增城,中新镇,在售,13000,2室,86.0,100.0,9.472704636443673,4.605170185988092,4.454347296253507,1,1,0,0,1,0,0,1
兰亭香麓,增城,荔城富鹏,在售,11800,3室,99.5,140.0,9.375854810453756,4.941642422609304,4.600157644164547,1,1,0,0,1,0,0,1
东建·明德城,禅城,祖庙,在售,22500,4室,128.0,370.0,10.021270588192511,5.91350300563827,4.852030263919617,1,0,1,0,0,0,1,0
滨江金茂悦,南海,罗村,在售,11000,4室,115.5,207.5,9.305650551780507,5.335131339670753,4.749270529961848,0,0,0,1,0,0,1,1
佳兆业·广雅院,南海,平洲,在售,20000,4室,104.5,240.0,9.903487552536127,5.480638923341991,4.6491870714048655,1,0,1,0,0,0,1,0
经纬凯旋世家,鹤山市,鹤山市,在售,6500,4室,115.0,81.5,8.779557455883728,4.400603020246817,4.74493212836325,1,0,0,0,0,0,0,0
轩隆雅园,三水,北江新区,在售,9800,2室,99.0,97.5,9.190137664658664,4.579852378003801,4.59511985013459,1,0,0,0,1,0,1,0
五矿万境水岸,顺德,大良新区,在售,18500,4室,167.5,440.0,9.825526011066415,6.0867747269123065,5.120983351265121,0,1,0,1,0,1,1,0
保利中海金地·大国璟,增城,荔城西区,待售,22000,4室,108.0,100.0,9.998797732340453,4.605170185988092,4.68213122712422,1,1,1,0,0,1,0,0
卓越晴翠府,番禺,桥南,在售,28000,3室,103.0,292.5,10.239959789157341,5.678464666671911,4.634728988229636,1,1,0,0,1,0,0,1
保利锦绣公馆,白云,南湖,待售,21000,4室,41.5,90.0,9.95227771670556,4.499809670330265,3.7256934272366524,1,0,1,1,0,1,0,0
招商电建南国·雍云邸,白云,石井,在售,25000,4室,83.5,210.0,10.126631103850338,5.3471075307174685,4.42484663185681,1,0,0,1,0,1,0,1
耀胜新世界广场·耀胜尊府,番禺,汉溪长隆,在售,65000,4室,104.5,615.0,11.082142548877775,6.421622267806518,4.6491870714048655,1,1,1,0,0,0,0,0
首铸·铂瑞云湾,番禺,石楼,在售,24000,4室,120.0,345.0,10.085809109330082,5.84354441703136,4.787491742782046,0,1,0,1,1,0,0,1
越秀星耀TOD,增城,新塘北,在售,20000,4室,112.5,225.0,9.903487552536127,5.41610040220442,4.722953221644475,1,1,0,0,0,0,0,0
广州城投·禧悦府,增城,凤凰城,在售,21000,3室,117.5,337.5,9.95227771670556,5.821565510312585,4.7664383335842135,1,1,1,0,0,1,0,0
华润置地金沙瑞府,白云,金沙洲,在售,35000,4室,143.0,495.0,10.46310334047155,6.20455776256869,4.962844630259907,0,0,0,1,0,1,0,0
建发明珠湾玺,南沙,明珠湾,在售,31000,4室,115.0,450.0,10.341742483467284,6.1092475827643655,4.74493212836325,1,1,1,0,0,1,0,0
深业颐泽府,南沙,明珠湾,在售,37000,4室,180.0,670.0,10.51867319162636,6.507277712385012,5.19295685089021,0,1,0,1,0,1,0,0
华宇·锦绣云赋,从化,旧城区,在售,15000,4室,92.5,136.5,9.615805480084347,4.916324614625014,4.52720864451838,1,0,1,1,0,0,0,0
金地·云上,增城,中新镇,在售,11000,2室,82.0,112.5,9.305650551780507,4.722953221644475,4.406719247264253,1,0,0,0,1,0,0,1
悦辰壹号,黄埔,知识城,在售,24000,4室,128.5,255.0,10.085809109330082,5.541263545158426,4.855928904335275,1,1,0,0,1,0,0,1
国科众安江屿大观,番禺,市桥,在售,16800,3室,117.0,332.5,9.72913416539135,5.806639860095909,4.762173934797756,1,1,1,0,0,0,0,0
振业学府里,增城,白江,在售,13500,4室,91.0,127.5,9.51044496442652,4.848116364598481,4.51085950651685,1,0,0,0,1,1,0,0
越秀联投知识城·居山涧,黄埔,知识城,在售,46000,4室,165.0,850.0,10.736396675471232,6.745236349484363,5.10594547390058,0,0,0,1,0,1,0,0
中洲紫轩,黄埔,鱼珠,在售,50000,4室,126.0,685.0,10.819778284410283,6.529418838262226,4.836281906951478,1,1,1,0,0,0,0,0
万科黄埔新城,黄埔,南岗,在售,33000,4室,109.0,367.5,10.404262840448617,5.906723318652891,4.6913478822291435,1,0,0,1,1,1,0,0
广州城投领南府,番禺,广州南站,在售,32000,2室,120.5,402.0,10.373491181781864,5.996452088619021,4.791649752930709,0,1,0,1,1,1,0,0
云裳峯尚,白云,同和,在售,55000,4室,105.5,681.0,10.915088464214607,6.523562306149512,4.658710952916121,1,1,1,0,0,0,0,0
金科景业·雍景园,增城,中新镇,待售,24500,1室,61.0,97.5,10.106428396532818,4.579852378003801,4.110873864173311,1,1,1,0,1,0,0,0
保利天汇,天河,黄村,在售,55000,1室,112.0,616.0,10.915088464214607,6.423246963533519,4.718498871295094,1,1,1,0,0,1,0,0
越秀·大学·星汇城,番禺,国际创新城,在售,38000,4室,106.5,437.5,10.545341438708522,6.081076705797669,4.66814498514948,0,1,0,1,1,1,0,0
保利珑悦,增城,永宁,在售,12000,2室,91.0,113.5,9.392661928770137,4.7318028369214575,4.51085950651685,1,1,0,0,1,0,0,1
飞晟汇,黄埔,香雪,在售,21800,3室,435.0,1003.5,9.98966524877718,6.911249168236393,6.075346031088684,0,1,0,0,0,0,0,0
路劲星棠,增城,白江,在售,16000,3室,86.5,139.0,9.680344001221918,4.9344739331306915,4.460144413937834,1,1,1,0,0,0,0,0
知识城投资嘉达·山与墅,黄埔,知识城,在售,45000,4室,170.5,750.0,10.714417768752456,6.620073206530356,5.1387352967235715,0,1,0,1,0,1,0,0
远洋天成,增城,新塘北,在售,16500,4室,88.0,149.0,9.711115659888671,5.003946305945459,4.477336814478207,1,0,0,0,0,1,0,0
