标题,地区,位置,类型,均价/平方米每元,室厅数,面积,总价,是否是人车分流,是否是品牌房企,是否是车位充足,是否是国央企,是否是绿化率高,是否是低总价,是否是佛山楼盘,是否是低单价,是否是小型社区,是否是近地铁,是否是大型社区,是否是地铁沿线
嘉东广场,从化,旺城片区,在售,12000,"2室, 3室",104.0,125.5,1,0,0,0,1,0,0,0,0,0,0,0
合景誉山国际,增城,永宁,在售,8500,2室,40.5,43.0,1,1,0,0,1,0,0,0,0,0,0,0
都湖国际,花都,旧区,在售,28000,"3室, 5室",164.5,679.0,0,1,1,0,1,0,0,0,0,0,0,1
东江逸珑湾,增城,新塘南,在售,21000,"3室, 4室",125.5,305.0,1,1,0,0,0,0,0,0,0,0,1,0
敏捷尚品国际,南沙,进港大道,在售,9000,2室,75.0,57.0,0,1,0,0,0,1,0,1,0,0,1,0
珠江花城,天河,黄村,在售,50000,"3室, 4室, 5室",108.0,650.0,1,1,0,1,1,0,0,0,0,0,0,0
保利金沙大都汇,白云,金沙洲,在售,60000,"3室, 4室",108.0,700.0,1,0,1,1,0,1,0,0,0,0,0,0
花悦台,花都,狮岭镇,在售,9000,3室,88.0,80.5,1,0,0,0,0,1,0,1,1,0,0,0
星图TOD,增城,新塘北,在售,21000,"1室, 2室, 3室",106.5,306.0,1,1,1,1,0,0,0,0,0,0,0,0
中洲公馆,番禺,市桥,在售,35000,"3室, 4室",63.0,147.0,0,1,1,0,1,0,0,0,0,0,0,0
美的云筑,南沙,鱼窝头,在售,21000,"3室, 4室",105.0,230.0,0,0,1,0,1,1,0,1,0,0,0,0
祈福万景峰,花都,铁路西,在售,15900,"2室, 3室, 4室",101.5,141.5,1,0,0,0,0,1,0,0,0,0,1,0
侨建御溪谷北区,增城,中新镇,在售,21500,4室,285.0,613.0,0,0,1,0,1,0,0,0,0,1,0,0
天睿,番禺,会江,在售,22000,"2室, 3室, 4室",114.0,702.5,1,0,0,0,1,0,0,0,0,0,0,0
珠江铂世湾,番禺,雅居乐,在售,38000,"3室, 4室",121.5,440.0,0,0,1,0,1,1,0,0,0,0,0,0
汇金国际金融中心,天河,金融城,在售,43000,"3室, 4室",108.0,800.0,1,1,1,1,0,0,0,0,0,0,0,0
汇金国际金融中心,天河,金融城,在售,43000,"3室, 4室",108.0,800.0,0,1,1,1,0,0,0,0,0,0,1,0
保利金沙大都汇,白云,金沙洲,在售,20000,2室,36.0,110.5,1,1,0,1,0,0,0,0,0,0,1,0
中交汇通中心,南沙,明珠湾,在售,22000,1室,75.5,135.5,1,0,0,1,0,1,0,0,0,0,1,0
香江天赋,增城,凤凰城,在售,27000,"4室, 5室",146.0,280.0,1,1,1,0,0,0,0,0,0,0,0,0
广州钢铁博汇,黄埔,开发西区,待售,32000,"3室, 4室",108.0,345.0,0,1,0,1,0,0,0,0,0,0,1,0
建发央玺,白云,石井,在售,40000,5室,147.0,800.0,1,1,1,1,0,0,0,0,0,0,0,0
首创碧桂园悦山府,增城,荔城增江,在售,11000,"3室, 4室",105.5,122.5,0,0,1,0,1,1,0,1,0,0,0,0
沁园,黄埔,香雪,在售,57000,"5室, 6室",268.5,1650.0,0,0,1,0,1,0,0,0,0,0,0,0
仟信广场,从化,河滨北路,在售,12500,3室,129.0,195.0,0,0,1,0,1,0,0,0,0,1,0,0
中冶·逸璟台,黄埔,科学城,在售,50000,"2室, 5室",154.0,752.5,0,1,1,1,1,0,0,0,0,0,0,0
康大龙祥汇,黄埔,知识城,在售,40000,"2室, 3室, 4室",140.0,465.0,0,0,1,1,1,0,0,0,0,0,0,0
保利时代,从化,江浦街,在售,12500,"2室, 3室",87.0,123.0,0,0,1,1,1,1,0,0,0,0,0,0
中国中铁·诺德名著,增城,荔城西区,在售,18000,"3室, 4室",113.0,200.0,1,1,1,1,0,0,0,0,0,0,0,0
岭南V谷,荔湾,菊树,在售,20000,"3室, 4室",108.0,150.0,1,1,0,1,0,0,0,0,0,0,1,0
岭南V谷,荔湾,菊树,在售,21000,"1室, 2室",50.0,110.0,1,0,0,0,1,1,0,1,0,0,0,0
百花山庄,增城,荔城西区,在售,18000,"3室, 4室",175.0,315.0,0,0,1,0,1,0,0,0,0,0,0,0
保利中海金地·大国璟,增城,荔城西区,在售,13000,"3室, 4室",98.5,165.0,0,0,1,0,0,1,0,1,0,0,1,0
时代绿庭山语,南沙,大岗镇,待售,21000,"2室, 3室",81.5,227.5,1,0,0,0,1,1,0,1,0,0,0,0
广地花园,番禺,星河湾,在售,27000,"2室, 3室, 4室",120.5,405.0,0,0,1,0,0,1,0,1,0,0,0,0
天健云山府,白云,白云大道南,在售,60000,"3室, 4室",108.0,350.0,1,1,1,1,0,0,0,0,0,0,0,0
越秀星汇海珠湾204地块滨水独栋商业,海珠,工业大道中,在售,62000,"3室, 4室",108.0,4050.0,0,1,0,1,0,0,0,0,0,1,1,0
星悦轩,白云,马务,在售,31000,3室,92.0,322.0,1,0,1,0,0,1,0,0,0,0,0,1
中海熙园,南沙,东涌,在售,48000,"4室, 5室",109.5,640.0,0,0,0,1,1,0,0,0,0,0,0,0
保利国际金融中心（花都）,花都,花城街,在售,18000,1室,347.0,625.0,1,1,1,1,0,0,0,0,0,0,0,0
华润置地润悦,增城,荔城西区,在售,12500,"3室, 4室",110.0,192.5,1,0,1,0,0,1,0,1,0,0,0,0
广州敏捷绿湖首府,增城,石滩镇,在售,25000,1室,338.0,400.0,1,1,0,0,0,0,0,0,0,0,1,0
时代绿庭山语,南沙,大岗镇,待售,25000,"3室, 4室",108.0,200.0,1,1,1,0,0,0,0,0,0,0,0,0
源海仙村一号,增城,石滩镇,在售,20000,"3室, 4室",108.0,280.0,1,0,1,0,0,0,0,0,0,0,0,0
阳光城兰园翡澜花园,花都,新区,在售,21000,"3室, 4室",106.0,250.0,0,1,1,0,1,0,0,0,0,1,0,0
金时花园,增城,荔城增江,在售,14000,1室,103.5,150.5,1,1,1,0,0,0,0,0,0,0,0,0
招商金茂保利和府,从化,旧城区,在售,13500,"3室, 4室",94.0,152.5,1,1,0,1,1,0,0,0,0,0,0,0
合景朗云花园,白云,夏茅,在售,30000,4室,106.0,345.0,0,0,1,0,1,1,0,1,0,0,0,0
伟腾云星,白云,黄边,在售,38000,"2室, 3室",106.0,410.0,0,0,1,0,1,1,0,0,0,0,0,0
得天和苑,增城,永宁,在售,12500,"3室, 4室",104.5,135.0,1,0,1,0,0,1,0,1,0,0,0,0
尊悦台,南沙,大岗镇,在售,14500,"2室, 3室",102.5,135.0,1,0,1,0,0,1,0,1,0,0,0,0
颐德湾尚,南沙,明珠湾,在售,30000,"3室, 4室",203.5,585.0,0,1,1,1,1,0,0,0,0,0,0,0
嘉河湾8号,花都,铁路西,在售,13000,"2室, 3室",122.5,212.5,0,0,1,0,1,1,0,1,0,0,0,0
品秀·星瀚,番禺,广州南站,在售,31000,"2室, 3室, 4室",94.0,340.0,1,0,1,1,0,1,0,0,0,0,0,0
嘉华广场,花都,镜湖大道,在售,13000,1室,50.0,72.5,1,0,1,0,0,0,0,0,0,1,0,1
天马河·名荟,花都,铁路西,在售,14500,"1室, 2室",63.0,71.5,0,0,0,0,0,1,0,1,1,0,0,0
富城华庭,增城,荔城增江,在售,9500,"2室, 3室, 4室",127.5,127.0,1,0,1,0,0,1,0,1,0,0,0,0
中铁诺德·阅泷,白云,江高镇,在售,18000,"2室, 3室, 4室",104.0,196.0,1,0,1,0,0,1,0,1,0,0,0,0
品实·云湖花城,白云,石井,在售,33000,"3室, 4室, 5室",105.5,346.0,1,0,0,1,1,1,0,0,0,0,0,0
港航中心,黄埔,鱼珠,在售,40000,"2室, 3室",99.0,445.5,1,1,0,1,1,0,0,0,0,0,0,0
时代印记,黄埔,知识城,在售,18000,"3室, 4室",111.5,200.0,1,0,0,0,1,1,0,1,0,0,0,0
珠光金融城壹号,天河,东圃,在售,5000,"3室, 4室",246.5,3850.0,1,1,1,0,0,0,0,1,0,0,0,0
凯德凯荔花园,增城,荔城西区,在售,15500,"3室, 4室",110.0,182.5,1,1,1,0,0,0,0,0,0,0,0,0
越秀逸泉锦翠,从化,江浦街,在售,9500,"3室, 4室",81.5,92.0,1,0,0,0,1,1,0,1,0,0,0,0
中国铁建海语熙岸,南沙,南沙区府,在售,30000,"3室, 4室, 5室",174.5,499.0,0,1,1,1,1,0,0,0,0,0,0,0
富力新城,黄埔,开发东区,在售,25000,"2室, 3室, 4室",96.5,240.0,1,0,0,0,1,1,0,1,0,0,0,0
天河云商汇,天河,智慧城,在售,29000,"1室, 3室",45.0,210.0,1,0,0,0,0,1,0,0,0,0,0,0
加富花园,番禺,石碁,在售,22000,"2室, 3室",84.5,224.0,1,0,0,0,0,1,0,1,0,0,0,0
龙光天瀛,番禺,市桥,在售,26000,"2室, 3室, 4室",132.0,569.0,0,0,1,0,1,1,0,1,0,0,0,0
远洋芙蓉墅,花都,狮岭镇,在售,10000,1室,104.0,59.0,0,0,1,0,1,1,0,1,0,0,0,0
天颐华府,番禺,市桥北,在售,65000,"3室, 4室",262.0,2000.0,0,0,1,0,1,0,0,0,0,0,0,0
广州院子,增城,荔城增江,在售,7800,"3室, 4室",117.5,96.0,1,0,1,0,0,1,0,1,0,0,0,0
时代倾城（中新）,增城,中新镇,在售,13000,3室,107.5,130.5,1,1,0,0,0,0,0,1,0,0,1,0
电建地产·洺悦玉府,番禺,市桥,在售,22000,"3室, 4室",115.0,252.5,1,0,1,0,0,1,0,1,0,0,0,0
五矿壹云台,黄埔,科学城,在售,34000,"3室, 4室",122.5,460.0,0,1,1,1,1,0,0,0,0,0,0,0
广州万科城,增城,永宁,在售,10000,"3室, 4室",89.0,104.5,1,0,1,0,0,1,0,1,0,0,0,0
凯德山海连城二期,番禺,莲花山,在售,24000,"3室, 4室",148.0,657.5,0,0,1,0,1,1,0,1,0,0,0,0
星河东悦湾,南沙,黄阁,在售,32000,"3室, 4室",146.5,556.0,1,1,1,0,0,0,0,0,0,0,0,0
金湖花园,白云,沙太北,在售,45000,"3室, 4室, 5室",120.5,555.0,0,0,0,0,1,0,0,0,0,0,0,0
合锦嘉泓·天宇花园,南沙,金洲,在售,17000,"3室, 4室",152.5,210.0,1,0,1,0,0,1,0,1,0,0,0,0
中交汇通中心,南沙,明珠湾,在售,23000,"3室, 4室",108.0,400.0,1,1,0,1,0,0,0,0,0,0,1,0
信达·珺悦蓝庭,花都,炭步,在售,11000,"3室, 4室",95.5,99.0,1,0,1,0,0,1,0,1,0,0,0,0
增城中国铁建国际公馆,增城,中新镇,在售,11500,4室,111.0,189.0,1,0,1,0,0,1,0,1,0,0,0,0
越秀华发·悦见星城,增城,中新镇,在售,7200,"3室, 4室",89.5,70.5,1,0,1,0,0,1,0,1,0,0,0,0
珠江·花屿花城,增城,永宁,在售,11000,4室,87.5,105.5,1,0,1,0,0,1,0,1,0,0,0,0
御溪世家,增城,中新镇,在售,13000,"2室, 3室",86.0,100.0,1,0,1,0,0,1,0,1,0,0,0,0
兰亭香麓,增城,荔城富鹏,在售,11800,3室,99.5,140.0,1,0,1,0,0,1,0,1,0,0,0,0
东建·明德城,禅城,祖庙,在售,22500,"3室, 4室",128.0,370.0,1,1,0,0,0,0,1,0,0,0,1,0
滨江金茂悦,南海,罗村,在售,11000,4室,115.5,207.5,0,0,0,0,1,0,1,1,0,0,0,0
佳兆业·广雅院,南海,平洲,在售,20000,"3室, 4室",104.5,240.0,1,1,0,0,0,0,1,0,0,0,1,0
经纬凯旋世家,鹤山市,鹤山市,在售,6500,"3室, 4室",115.0,81.5,1,0,0,0,0,0,0,0,0,0,1,0
轩隆雅园,三水,北江新区,在售,9800,"2室, 3室",99.0,97.5,1,0,0,0,0,1,1,0,0,0,0,0
五矿万境水岸,顺德,大良新区,在售,18500,"3室, 4室",167.5,440.0,0,0,1,1,1,0,1,0,0,0,0,0
保利中海金地·大国璟,增城,荔城西区,待售,22000,"3室, 4室",108.0,100.0,1,1,1,1,0,0,0,0,0,0,0,0
卓越晴翠府,番禺,桥南,在售,28000,"2室, 3室, 4室",103.0,292.5,1,0,1,0,0,1,0,1,0,0,0,0
保利锦绣公馆,白云,南湖,待售,21000,"3室, 4室",41.5,90.0,1,1,0,1,1,0,0,0,0,0,0,0
招商电建南国·雍云邸,白云,石井,在售,25000,"3室, 4室",83.5,210.0,1,0,0,1,1,0,0,1,0,0,0,0
耀胜新世界广场·耀胜尊府,番禺,汉溪长隆,在售,65000,"3室, 4室, 5室",104.5,615.0,1,1,1,0,0,0,0,0,0,0,0,0
首铸·铂瑞云湾,番禺,石楼,在售,24000,"3室, 4室",120.0,345.0,0,0,1,0,1,1,0,1,0,0,0,0
越秀星耀TOD,增城,新塘北,在售,20000,"3室, 4室",112.5,225.0,1,0,1,0,0,0,0,0,0,1,0,1
广州城投·禧悦府,增城,凤凰城,在售,21000,"2室, 3室, 4室",117.5,337.5,1,1,1,1,0,0,0,0,0,0,0,0
华润置地金沙瑞府,白云,金沙洲,在售,35000,4室,143.0,495.0,0,0,0,1,1,0,0,0,0,0,0,0
建发明珠湾玺,南沙,明珠湾,在售,31000,4室,115.0,450.0,1,1,1,1,0,0,0,0,0,0,0,0
深业颐泽府,南沙,明珠湾,在售,37000,"4室, 5室",180.0,670.0,0,0,1,1,1,0,0,0,0,0,0,0
华宇·锦绣云赋,从化,旧城区,在售,15000,"3室, 4室",92.5,136.5,1,1,0,0,1,0,0,0,0,0,0,0
金地·云上,增城,中新镇,在售,11000,2室,82.0,112.5,1,0,0,0,0,1,0,1,0,0,1,0
悦辰壹号,黄埔,知识城,在售,24000,"3室, 4室",128.5,255.0,1,0,1,0,0,1,0,1,0,0,0,0
国科众安江屿大观,番禺,市桥,在售,16800,"2室, 3室, 4室",117.0,332.5,1,1,1,0,0,0,0,0,0,0,0,0
振业学府里,增城,白江,在售,13500,"3室, 4室",91.0,127.5,1,0,0,1,0,1,0,0,1,0,0,0
越秀联投知识城·居山涧,黄埔,知识城,在售,46000,4室,165.0,850.0,0,0,0,1,1,0,0,0,0,0,0,0
中洲紫轩,黄埔,鱼珠,在售,50000,"3室, 4室, 5室",126.0,685.0,1,1,1,0,0,0,0,0,0,1,0,0
万科黄埔新城,黄埔,南岗,在售,33000,"3室, 4室",109.0,367.5,1,0,0,1,1,1,0,0,0,0,0,0
广州城投领南府,番禺,广州南站,在售,32000,"2室, 3室",120.5,402.0,0,0,1,1,1,1,0,0,0,0,0,0
云裳峯尚,白云,同和,在售,55000,"3室, 4室",105.5,681.0,1,1,1,0,0,0,0,0,0,0,0,0
金科景业·雍景园,增城,中新镇,待售,24500,1室,61.0,97.5,1,1,1,0,0,1,0,0,0,0,0,0
保利天汇,天河,黄村,在售,55000,1室,112.0,616.0,1,1,1,1,0,0,0,0,0,0,0,0
越秀·大学·星汇城,番禺,国际创新城,在售,38000,"3室, 4室, 5室",106.5,437.5,0,0,1,1,1,1,0,0,0,0,0,0
保利珑悦,增城,永宁,在售,12000,"2室, 3室",91.0,113.5,1,0,1,0,0,1,0,1,0,0,0,0
飞晟汇,黄埔,香雪,在售,21800,"1室, 4室, 5室",435.0,1003.5,0,0,1,0,0,0,0,0,0,1,0,1
路劲星棠,增城,白江,在售,16000,"2室, 4室",86.5,139.0,1,1,1,0,0,0,0,0,0,0,0,1
知识城投资嘉达·山与墅,黄埔,知识城,在售,45000,"3室, 4室",170.5,750.0,0,0,1,1,1,0,0,0,0,0,0,0
远洋天成,增城,新塘北,在售,16500,"3室, 4室",88.0,149.0,1,0,0,1,0,0,0,0,1,0,0,1
广晟中国铁建花语天珹,花都,花城街,在售,21000,"2室, 3室, 4室",138.0,320.0,0,1,1,1,1,0,0,0,0,0,0,0
金地商置都会峯范,花都,铁路西,在售,16500,"2室, 3室",103.0,180.0,1,1,1,0,0,1,0,0,0,0,0,0
中建凤榕台,增城,朱村,在售,23000,"3室, 4室",85.0,195.0,1,1,0,1,0,0,0,0,0,0,1,0
中铁建信达花语天宸,黄埔,科学城,在售,41000,"3室, 4室",132.5,610.0,1,1,1,1,0,0,0,0,0,0,0,0
中盛顺和家园,增城,荔城增江,在售,12000,"3室, 4室",113.0,160.0,1,0,1,0,0,1,0,1,0,0,0,0
中旅名门府,花都,镜湖大道,在售,18500,"2室, 3室",98.0,200.0,0,0,1,1,1,1,0,0,0,0,0,0
中海保利朗阅,荔湾,西朗,在售,50000,"2室, 3室, 4室",140.0,770.0,0,1,1,1,1,0,0,0,0,0,0,0
珠江未来城,番禺,莲花山,在售,11000,"1室, 2室",52.0,67.5,1,0,0,0,1,1,0,1,0,0,0,0
星河畔月湾,南沙,横沥,在售,20000,"3室, 4室",103.0,210.0,0,0,1,0,1,1,0,1,0,0,0,0
振业天成,黄埔,科学城,在售,39000,4室,136.0,649.0,0,1,1,1,1,0,0,0,0,0,0,0
绿城桂语汀澜,南沙,明珠湾,在售,28000,4室,119.5,333.0,0,1,1,1,1,0,0,0,0,0,0,0
招商湾区1872,南沙,东涌,在售,22000,"3室, 4室",92.0,200.0,1,0,1,0,0,1,0,1,0,0,0,0
海语天悦湾,南沙,明珠湾,在售,28000,"2室, 3室",111.0,345.0,0,1,1,1,1,0,0,0,0,0,0,0
国贸学原,增城,荔城西区,在售,12600,"2室, 3室, 4室",102.0,134.0,1,0,0,0,0,1,0,1,0,0,1,0
公交珠实花城云著,白云,夏茅,在售,35000,"3室, 4室",78.0,284.5,1,0,1,1,0,1,0,0,0,0,0,0
中海江泰里,海珠,江燕路,在售,65000,"3室, 4室",90.0,625.0,1,1,0,1,1,0,0,0,0,0,0,0
保利水木芳华,增城,朱村,在售,12000,"1室, 2室",85.0,132.0,1,0,0,0,0,1,0,1,0,0,1,0
保利领秀海,番禺,莲花山,在售,22000,"3室, 4室",116.5,300.0,1,0,0,0,1,1,0,1,0,0,0,0
云麓花城,白云,太和,在售,23000,"3室, 4室",82.0,197.0,1,0,1,0,0,1,0,1,0,0,0,0
电建都汇府,花都,新区,在售,36000,"3室, 4室",155.0,580.0,1,1,1,1,0,0,0,0,0,0,0,0
金地公园名著,增城,永宁,在售,11000,"2室, 3室",87.5,87.5,1,0,1,0,0,1,0,1,0,0,0,0
中洲紫轩,黄埔,鱼珠,待售,35000,"3室, 4室",78.0,353.0,1,1,1,0,0,1,0,0,0,0,0,0
广垦天河1号,天河,沙太南,在售,30000,"1室, 2室",40.0,122.0,1,0,0,1,0,1,0,0,0,0,0,0
越秀星耀TOD,增城,新塘北,在售,16000,"2室, 3室",50.5,81.0,1,0,0,0,0,0,0,0,0,1,1,1
珠光海珠新城,海珠,南洲,在售,55000,"3室, 4室, 5室",162.5,1387.5,0,0,1,0,1,0,0,0,0,0,0,1
龙狮璟珑府,黄埔,知识城,在售,23000,"3室, 4室",129.5,325.0,0,0,0,0,1,1,0,1,0,0,0,0
广州城投·空港1号,花都,镜湖大道,在售,20000,"3室, 4室",95.5,230.0,0,1,1,1,1,0,0,0,0,0,0,0
珠江广钢花城,荔湾,东塱,在售,35000,"3室, 4室, 5室",90.5,385.0,0,1,0,1,1,1,0,0,0,0,0,0
珠江·金瑶台,海珠,昌岗,在售,50000,"2室, 3室",91.0,455.0,1,0,0,1,1,0,0,0,0,0,0,0
富好城繁华里,增城,新塘北,在售,12000,3室,93.0,115.0,1,0,0,0,0,1,0,1,0,0,1,0
天地源伴山溪谷,番禺,石楼,在售,22000,"2室, 3室",93.0,203.0,0,0,1,0,1,1,0,1,0,0,0,0
广开控股城投云锦,黄埔,长岭居,在售,45000,"3室, 4室",155.0,710.0,1,1,1,1,0,0,0,0,0,0,0,0
御璟兰园,南沙,明珠湾,在售,30000,5室,111.5,445.0,1,0,1,1,0,1,0,0,0,0,0,0
